#ops,ops/sec,mb/sec,us/op,ms/op
12430,1242.871,0.0,0,0.0
27680,2767.666,0.0,0,0.0
14298,1429.553,0.0,0,0.0
5148,514.720,0.0,0,0.0
41210,4120.377,0.0,0,0.0
15509,1550.622,0.0,0,0.0
36103,3609.677,0.0,0,0.0
25746,2574.153,0.0,0,0.0
23941,2393.681,0.0,0,0.0
48079,4807.107,0.0,0,0.0
41091,4108.515,0.0,0,0.0
36104,3609.791,0.0,0,0.0
30903,3089.795,0.0,0,0.0
30964,3095.900,0.0,0,0.0
41273,4126.624,0.0,0,0.0
37875,3786.973,0.0,0,0.0
39409,3940.277,0.0,0,0.0
25759,2575.598,0.0,0,0.0
41311,4130.432,0.0,0,0.0
41200,4119.400,0.0,0,0.0
36107,3610.113,0.0,0,0.0
29947,2994.217,0.0,0,0.0
31824,3181.843,0.0,0,0.0
46469,4646.161,0.0,0,0.0
36049,3604.527,0.0,0,0.0
3565,1782.191,0.0,0,0.0
