#ops,ops/sec,mb/sec,us/op,ms/op
1774,177.375,174.2,0,0.0
18,1.800,1.8,0,0.0
40,4.000,4.0,0,0.0
54,5.400,5.4,0,0.0
323,32.298,32.3,0,0.0
290,28.997,29.0,0,0.0
295,29.497,29.5,0,0.0
320,31.997,32.0,0,0.0
285,28.498,28.5,0,0.0
187,18.698,18.7,0,0.0
190,18.998,19.0,0,0.0
201,20.097,20.1,0,0.0
221,22.097,22.1,0,0.0
202,20.198,20.2,0,0.0
158,15.797,15.8,0,0.0
278,27.796,27.8,0,0.0
349,34.897,34.9,0,0.0
208,20.797,20.8,0,0.0
215,21.497,21.5,0,0.0
282,28.196,28.2,0,0.0
241,24.097,24.1,0,0.0
129,12.898,12.9,0,0.0
394,39.395,39.4,0,0.0
175,17.498,17.5,0,0.0
189,18.897,18.9,0,0.0
194,19.397,19.4,0,0.0
197,19.698,19.7,0,0.0
255,25.497,25.5,0,0.0
248,24.797,24.8,0,0.0
240,23.997,24.0,0,0.0
114,11.398,11.4,0,0.0
218,21.797,21.8,0,0.0
318,31.796,31.8,0,0.0
228,22.796,22.8,0,0.0
233,23.297,23.3,0,0.0
224,22.397,22.4,0,0.0
156,15.597,15.6,0,0.0
211,21.097,21.1,0,0.0
306,30.596,30.6,0,0.0
280,27.996,28.0,0,0.0
129,12.898,12.9,0,0.0
194,19.397,19.4,0,0.0
366,36.596,36.6,0,0.0
375,37.495,37.5,0,0.0
315,31.496,31.5,0,0.0
177,17.698,17.7,0,0.0
306,30.597,30.6,0,0.0
361,36.097,36.1,0,0.0
236,23.597,23.6,0,0.0
178,17.798,17.8,0,0.0
262,26.197,26.2,0,0.0
251,25.097,25.1,0,0.0
228,22.796,22.8,0,0.0
240,23.997,24.0,0,0.0
351,35.095,35.1,0,0.0
257,25.697,25.7,0,0.0
214,21.398,21.4,0,0.0
218,21.797,21.8,0,0.0
220,21.998,22.0,0,0.0
318,31.796,31.8,0,0.0
270,26.996,27.0,0,0.0
260,25.997,26.0,0,0.0
249,24.897,24.9,0,0.0
316,31.597,31.6,0,0.0
262,26.198,26.2,0,0.0
232,23.197,23.2,0,0.0
357,35.698,35.7,0,0.0
302,30.197,30.2,0,0.0
257,25.698,25.7,0,0.0
233,23.298,23.3,0,0.0
248,24.798,24.8,0,0.0
224,22.398,22.4,0,0.0
222,22.198,22.2,0,0.0
236,23.598,23.6,0,0.0
342,34.197,34.2,0,0.0
310,30.997,31.0,0,0.0
277,27.696,27.7,0,0.0
184,18.398,18.4,0,0.0
315,31.496,31.5,0,0.0
164,16.398,16.4,0,0.0
340,33.996,34.0,0,0.0
252,25.196,25.2,0,0.0
290,28.997,29.0,0,0.0
314,31.397,31.4,0,0.0
302,30.196,30.2,0,0.0
305,30.496,30.5,0,0.0
358,35.795,35.8,0,0.0
426,42.594,42.6,0,0.0
386,38.595,38.6,0,0.0
310,30.995,31.0,0,0.0
462,46.194,46.2,0,0.0
495,49.494,49.5,0,0.0
492,49.196,49.2,0,0.0
385,38.497,38.5,0,0.0
363,36.297,36.3,0,0.0
300,29.997,30.0,0,0.0
500,49.996,50.0,0,0.0
391,39.096,39.1,0,0.0
438,43.795,43.8,0,0.0
329,32.895,32.9,0,0.0
394,39.395,39.4,0,0.0
365,36.497,36.5,0,0.0
457,45.696,45.7,0,0.0
385,38.497,38.5,0,0.0
374,37.396,37.4,0,0.0
572,57.195,57.2,0,0.0
558,55.794,55.8,0,0.0
474,47.395,47.4,0,0.0
324,53.993,54.0,0,0.0
