#ops,ops/sec,mb/sec,us/op,ms/op
7797,778.928,96.9,0,0.0
8313,830.531,103.8,0,0.0
8436,842.809,105.3,0,0.0
8520,851.200,106.4,0,0.0
8548,854.001,106.7,0,0.0
8559,855.084,106.8,0,0.0
8448,844.004,105.5,0,0.0
8338,833.012,104.1,0,0.0
8317,830.914,103.8,0,0.0
8404,839.615,104.9,0,0.0
8422,841.405,105.1,0,0.0
8604,859.580,107.4,0,0.0
8527,851.896,106.4,0,0.0
8381,837.309,104.6,0,0.0
8405,839.708,104.9,0,0.0
8267,825.919,103.2,0,0.0
8343,833.511,104.1,0,0.0
8443,843.497,105.4,0,0.0
8448,844.020,105.5,0,0.0
8468,846.002,105.7,0,0.0
8385,837.701,104.7,0,0.0
8332,832.414,104.0,0,0.0
8251,824.321,103.0,0,0.0
8330,832.215,104.0,0,0.0
8348,834.019,104.2,0,0.0
8570,856.184,107.0,0,0.0
8527,851.893,106.4,0,0.0
8348,834.013,104.2,0,0.0
2690,895.930,111.9,0,0.0
