#ops,ops/sec,mb/sec,us/op,ms/op
19756,1973.667,246.3,0,0.0
8122,811.393,101.4,0,0.0
8119,811.090,101.3,0,0.0
8432,842.439,105.3,0,0.0
8247,823.302,102.8,0,0.0
7713,770.597,96.3,0,0.0
8087,807.899,100.9,0,0.0
7330,732.337,91.5,0,0.0
7488,748.108,93.5,0,0.0
7884,787.687,98.4,0,0.0
8115,810.766,101.3,0,0.0
8070,806.272,100.7,0,0.0
7995,798.776,99.8,0,0.0
7814,780.694,97.5,0,0.0
7738,773.100,96.6,0,0.0
6822,681.583,85.1,0,0.0
6815,680.884,85.0,0,0.0
6818,681.183,85.1,0,0.0
6822,681.583,85.1,0,0.0
7339,733.236,91.6,0,0.0
7568,756.047,94.5,0,0.0
4453,741.440,92.6,0,0.0
