#ops,ops/sec,mb/sec,us/op,ms/op
,,,246.5,
32738,3270.566,102.2,0,0.0
33923,3388.929,105.9,0,0.0
32964,3293.122,102.9,0,0.0
32970,3293.725,102.9,0,0.0
31257,3122.857,97.5,0,0.0
31346,3131.486,97.8,0,0.0
30304,3027.371,94.6,0,0.0
29153,2912.423,91.0,0,0.0
28330,2830.425,88.4,0,0.0
29305,2927.574,91.4,0,0.0
30654,3062.330,95.6,0,0.0
29972,2994.222,93.5,0,0.0
30548,3051.975,95.3,0,0.0
30450,3042.252,95.0,0,0.0
27815,2778.715,86.8,0,0.0
25050,2502.503,78.1,0,0.0
27934,2790.606,87.1,0,0.0
28186,2815.795,87.9,0,0.0
30134,3010.384,94.0,0,0.0
26940,2990.329,93.4,0,0.0
