#ops,ops/sec,mb/sec,us/op,ms/op
622746,62213.090,243.0,0,0.0
237006,23677.108,92.4,0,0.0
253464,25321.238,98.9,0,0.0
244263,24401.952,95.3,0,0.0
240486,24026.880,93.8,0,0.0
235365,23512.902,91.8,0,0.0
233572,23333.822,91.1,0,0.0
235826,23560.940,92.0,0,0.0
223024,22280.474,87.0,0,0.0
226590,22636.151,88.4,0,0.0
225202,22497.774,87.8,0,0.0
220995,22079.392,86.2,0,0.0
235906,23567.457,92.0,0,0.0
226854,22662.794,88.5,0,0.0
221866,22164.190,86.5,0,0.0
224541,22432.031,87.6,0,0.0
211505,21129.426,82.5,0,0.0
226487,22626.060,88.3,0,0.0
248186,24796.212,96.8,0,0.0
242678,24243.518,94.6,0,0.0
260425,26018.451,101.6,0,0.0
261937,26167.595,102.2,0,0.0
119077,23790.411,92.9,0,0.0
