#ops,ops/sec,mb/sec,us/op,ms/op
2583,258.049,0.8,0,0.0
2708,270.531,0.8,0,0.0
2825,282.221,0.8,0,0.0
2767,276.425,0.9,0,0.0
2949,294.604,0.9,0,0.0
2969,296.605,0.9,0,0.0
2635,263.236,0.9,0,0.0
2285,228.278,0.7,0,0.0
2289,228.677,0.7,0,0.0
2354,235.165,0.7,0,0.0
2401,239.861,0.7,0,0.0
2101,209.891,0.7,0,0.0
2497,249.455,0.8,0,0.0
2525,252.247,0.8,0,0.0
2511,250.850,0.8,0,0.0
2335,233.267,0.7,0,0.0
2664,266.133,0.8,0,0.0
2688,268.540,0.8,0,0.0
2725,272.229,0.9,0,0.0
2518,251.548,0.7,0,0.0
2570,256.745,0.8,0,0.0
2577,257.441,0.8,0,0.0
2540,253.751,0.8,0,0.0
2460,245.755,0.8,0,0.0
2519,251.645,0.8,0,0.0
2511,250.850,0.8,0,0.0
2634,263.138,0.8,0,0.0
,,,,
2570,256.742,0.8,0,0.0
2841,283.818,0.9,0,0.0
2825,282.217,0.9,0,0.0
2643,264.039,0.8,0,0.0
2687,268.430,0.8,0,0.0
2755,275.225,0.9,0,0.0
2815,281.218,0.9,0,0.0
2421,241.863,0.7,0,0.0
,,,,9729
2753,275.028,0.9,0,0.0
,,,,9729
2866,286.313,0.9,0,0.0
3037,303.397,1.0,0,0.0
,,,,9729
3143,313.987,1.0,0,0.0
2447,244.454,0.8,0,0.0
3011,300.802,0.9,0,0.0
,,,1.1,
2894,289.114,0.9,0,0.0
2626,262.338,0.8,0,0.0
3267,326.372,1.1,0,0.0
3307,330.376,1.1,0,0.0
,,,,
2779,277.624,0.9,0,0.0
3557,355.346,1.1,0,0.0
3548,354.444,1.1,0,0.0
3463,345.955,1.1,0,0.0
3301,329.772,1.0,0,0.0
,,,,
3317,331.369,1.0,0,0.0
3347,334.364,1.1,0,0.0
2711,270.829,0.9,0,0.0
