#ops,ops/sec,mb/sec,us/op,ms/op
13794,1378.052,7.1,0,0.0
11279,1126.859,5.9,0,0.0
14188,1417.457,7.4,0,0.0
13712,1369.914,7.2,0,0.0
9462,945.308,4.9,0,0.0
11872,1186.118,6.3,0,0.0
11209,1119.808,5.9,0,0.0
7210,720.330,3.8,0,0.0
12748,1273.559,6.7,0,0.0
14344,1433.094,7.5,0,0.0
14660,1464.626,7.8,0,0.0
8339,833.123,4.3,0,0.0
14843,1482.905,8.0,0,0.0
14837,1482.292,7.7,0,0.0
15392,1537.754,8.1,0,0.0
12788,1277.631,6.8,0,0.0
14081,1406.780,7.5,0,0.0
14638,1462.472,7.7,0,0.0
12241,1222.946,6.4,0,0.0
8445,843.685,4.4,0,0.0
13446,1343.302,7.0,0,0.0
14386,1437.269,7.4,0,0.0
12769,1275.683,6.8,0,0.0
10497,1048.734,5.4,0,0.0
15362,1534.791,8.1,0,0.0
14636,1462.184,7.7,0,0.0
13962,1394.890,7.4,0,0.0
12922,1291.006,6.9,0,0.0
14895,1488.110,7.9,0,0.0
14367,1435.334,7.5,0,0.0
12613,1260.123,6.6,0,0.0
14591,1457.742,7.6,0,0.0
13907,1389.384,7.3,0,0.0
14105,1409.092,7.3,0,0.0
10576,1056.609,5.7,0,0.0
14818,1480.384,7.8,0,0.0
15604,1558.928,8.1,0,0.0
8483,847.506,4.3,0,0.0
12839,1282.659,6.6,0,0.0
14294,1428.044,7.6,0,0.0
13292,1327.969,7.0,0,0.0
13053,1304.061,6.8,0,0.0
13892,1387.904,7.2,0,0.0
12371,1235.900,6.6,0,0.0
13543,1353.065,7.3,0,0.0
13116,1310.364,6.8,0,0.0
13272,1325.966,7.0,0,0.0
13855,1384.151,7.3,0,0.0
13847,1383.424,7.3,0,0.0
12125,1211.372,6.3,0,0.0
13230,1321.780,6.9,0,0.0
16722,1670.633,8.8,0,0.0
9993,998.360,5.2,0,0.0
13279,1326.613,7.1,0,0.0
13887,1387.372,7.3,0,0.0
13977,1396.410,7.5,0,0.0
8914,890.586,4.7,0,0.0
15618,1560.344,8.1,0,0.0
16387,1637.086,8.6,0,0.0
13023,1301.059,6.9,0,0.0
