#ops,ops/sec,mb/sec,us/op,ms/op
1397,139.562,17.4,0,0.0
1493,149.152,18.6,0,0.0
1587,158.542,19.8,0,0.0
1674,167.234,20.9,0,0.0
1774,177.224,22.1,0,0.0
1839,183.719,22.9,0,0.0
1948,194.607,24.3,0,0.0
2004,200.200,25.0,0,0.0
2062,205.997,25.7,0,0.0
2123,212.088,26.5,0,0.0
2144,214.189,26.8,0,0.0
2170,216.784,27.1,0,0.0
2209,220.683,27.6,0,0.0
2330,232.769,29.1,0,0.0
2282,227.974,28.5,0,0.0
2332,232.969,29.1,0,0.0
2346,234.366,29.3,0,0.0
2344,234.168,29.3,0,0.0
2370,236.765,29.6,0,0.0
2346,234.368,29.3,0,0.0
2360,235.766,29.5,0,0.0
2337,233.468,29.2,0,0.0
2372,236.967,29.6,0,0.0
2301,229.872,28.7,0,0.0
2362,235.965,29.5,0,0.0
,,,,7962
2340,233.767,29.2,0,0.0
2350,234.767,29.3,0,0.0
2367,236.467,29.5,0,0.0
2362,235.964,29.5,0,0.0
2366,236.366,29.5,0,0.0
2359,235.666,29.4,0,0.0
2338,233.568,29.2,0,0.0
2326,232.370,29.0,0,0.0
2381,237.864,29.7,0,0.0
2301,229.874,28.7,0,0.0
,,,,
2327,232.468,29.0,0,0.0
2347,234.467,29.3,0,0.0
2377,237.465,29.7,0,0.0
2348,234.569,29.3,0,0.0
2355,235.267,29.4,0,0.0
2360,235.764,29.5,0,0.0
2342,233.969,29.2,0,0.0
2345,234.268,29.3,0,0.0
2371,236.865,29.6,0,0.0
2371,236.863,29.6,0,0.0
2365,236.267,29.5,0,0.0
2386,238.362,29.8,0,0.0
2401,239.862,30.0,0,0.0
2377,237.466,29.7,0,0.0
2353,235.067,29.4,0,0.0
2316,231.367,28.9,0,0.0
2318,231.572,28.9,0,0.0
2329,232.669,29.1,0,0.0
2383,238.066,29.7,0,0.0
2375,237.265,29.6,0,0.0
2368,236.565,29.6,0,0.0
2357,235.465,29.4,0,0.0
2370,236.766,29.6,0,0.0
