#ops,ops/sec,mb/sec,us/op,ms/op
569,56.843,56.7,0,0.0
594,59.341,59.3,0,0.0
624,62.338,62.3,0,0.0
643,64.236,64.2,0,0.0
659,65.835,65.8,0,0.0
684,68.332,68.3,0,0.0
703,70.230,70.2,0,0.0
684,68.332,68.3,0,0.0
680,67.933,67.9,0,0.0
680,67.932,67.9,0,0.0
675,67.433,67.4,0,0.0
682,68.132,68.1,0,0.0
696,69.531,69.5,0,0.0
684,68.333,68.3,0,0.0
686,68.532,68.5,0,0.0
686,68.531,68.5,0,0.0
692,69.132,69.1,0,0.0
704,70.330,70.3,0,0.0
669,66.834,66.8,0,0.0
686,68.532,68.5,0,0.0
678,67.734,67.7,0,0.0
671,67.034,67.0,0,0.0
687,68.632,68.6,0,0.0
691,69.032,69.0,0,0.0
682,68.132,68.1,0,0.0
685,68.432,68.4,0,0.0
691,69.031,69.0,0,0.0
704,70.330,70.3,0,0.0
701,70.031,70.0,0,0.0
683,68.233,68.2,0,0.0
691,69.031,69.0,0,0.0
684,68.332,68.3,0,0.0
710,70.930,70.9,0,0.0
681,68.033,68.0,0,0.0
693,69.231,69.2,0,0.0
693,69.230,69.2,0,0.0
692,69.132,69.1,0,0.0
688,68.731,68.7,0,0.0
678,67.733,67.7,0,0.0
682,68.133,68.1,0,0.0
679,67.832,67.8,0,0.0
688,68.732,68.7,0,0.0
703,70.230,70.2,0,0.0
680,67.933,67.9,0,0.0
689,68.831,68.8,0,0.0
682,68.132,68.1,0,0.0
680,67.933,67.9,0,0.0
700,69.930,69.9,0,0.0
689,68.832,68.8,0,0.0
689,68.832,68.8,0,0.0
687,68.631,68.6,0,0.0
676,67.533,67.5,0,0.0
703,70.230,70.2,0,0.0
692,69.131,69.1,0,0.0
675,67.434,67.4,0,0.0
688,68.731,68.7,0,0.0
689,68.832,68.8,0,0.0
688,68.732,68.7,0,0.0
688,68.732,68.7,0,0.0
691,69.031,69.0,0,0.0
