#ops,ops/sec,mb/sec,us/op,ms/op
1663,166.135,0.6,0,0.0
1789,178.724,0.6,0,0.0
1921,191.909,0.7,0,0.0
2014,201.199,0.7,0,0.0
2123,212.091,0.8,0,0.0
2233,223.077,0.8,0,0.0
2300,229.773,0.8,0,0.0
2409,240.659,0.9,0,0.0
2424,242.162,0.9,0,0.0
2438,243.558,0.9,0,0.0
2487,248.452,0.9,0,0.0
2511,250.851,0.9,0,0.0
2543,254.048,0.9,0,0.0
2531,252.851,0.9,0,0.0
2540,253.746,0.9,0,0.0
2555,255.247,0.9,0,0.0
2569,256.645,1.0,0,0.0
2573,257.047,1.0,0,0.0
2580,257.744,1.0,0,0.0
2582,257.944,1.0,0,0.0
2569,256.645,1.0,0,0.0
2588,258.542,1.0,0,0.0
2565,256.247,1.0,0,0.0
2603,260.042,1.0,0,0.0
2541,253.846,0.9,0,0.0
2603,260.042,1.0,0,0.0
2593,259.043,1.0,0,0.0
2570,256.744,1.0,0,0.0
2600,259.743,1.0,0,0.0
2582,257.944,1.0,0,0.0
2594,259.143,1.0,0,0.0
2595,259.244,1.0,0,0.0
2594,259.143,1.0,0,0.0
2577,257.443,1.0,0,0.0
2596,259.341,1.0,0,0.0
,,,,
2634,263.141,1.0,0,0.0
2594,259.143,1.0,0,0.0
2595,259.242,1.0,0,0.0
2588,258.543,1.0,0,0.0
2605,260.240,1.0,0,0.0
2627,262.439,1.0,0,0.0
2584,258.144,1.0,0,0.0
2562,255.946,1.0,0,0.0
2608,260.541,1.0,0,0.0
2608,260.541,1.0,0,0.0
2596,259.342,1.0,0,0.0
2598,259.544,1.0,0,0.0
2580,257.742,1.0,0,0.0
2604,260.142,1.0,0,0.0
2574,257.146,1.0,0,0.0
2597,259.440,1.0,0,0.0
2621,261.842,1.0,0,0.0
2588,258.543,1.0,0,0.0
2607,260.441,1.0,0,0.0
2561,255.844,1.0,0,0.0
2592,258.945,1.0,0,0.0
2599,259.642,1.0,0,0.0
2594,259.143,1.0,0,0.0
2594,259.140,1.0,0,0.0
