#ops,ops/sec,mb/sec,us/op,ms/op
,,,,
578,57.742,57.7,0,0.0
585,58.442,58.4,0,0.0
531,53.047,53.0,0,0.0
626,62.538,62.5,0,0.0
674,67.333,67.3,0,0.0
739,73.827,73.8,0,0.0
706,70.530,70.5,0,0.0
586,58.542,58.5,0,0.0
272,27.174,27.2,0,0.0
785,78.422,78.4,0,0.0
815,81.419,81.4,0,0.0
612,61.139,61.1,0,0.0
,,,26.2,
860,85.918,85.9,0,0.0
843,84.217,84.2,0,0.0
176,17.583,17.6,0,0.0
663,66.234,66.2,0,0.0
836,83.517,83.5,0,0.0
511,51.050,51.0,0,0.0
368,36.763,36.8,0,0.0
859,85.815,85.8,0,0.0
766,76.524,76.5,0,0.0
159,15.884,15.9,0,0.0
879,87.813,87.8,0,0.0
809,80.819,80.8,0,0.0
100,9.990,10.0,0,0.0
835,83.416,83.4,0,0.0
863,86.215,86.2,0,0.0
280,27.972,28.0,0,0.0
599,59.841,59.8,0,0.0
861,86.014,86.0,0,0.0
485,48.452,48.5,0,0.0
413,41.259,41.3,0,0.0
807,80.620,80.6,0,0.0
855,85.415,85.4,0,0.0
56,5.594,5.6,0,0.0
874,87.313,87.3,0,0.0
846,84.516,84.5,0,0.0
269,26.874,26.9,0,0.0
601,60.040,60.0,0,0.0
820,81.918,81.9,0,0.0
717,71.629,71.6,0,0.0
199,19.880,19.9,0,0.0
840,83.917,83.9,0,0.0
844,84.317,84.3,0,0.0
300,29.970,30.0,0,0.0
632,63.137,63.1,0,0.0
816,81.519,81.5,0,0.0
474,47.353,47.4,0,0.0
386,38.562,38.6,0,0.0
852,85.116,85.1,0,0.0
834,83.317,83.3,0,0.0
80,7.992,8.0,0,0.0
833,83.218,83.2,0,0.0
870,86.914,86.9,0,0.0
228,22.777,22.8,0,0.0
665,66.434,66.4,0,0.0
889,88.813,88.8,0,0.0
436,43.557,43.6,0,0.0
