#ops,ops/sec,mb/sec,us/op,ms/op
1881,187.913,5.8,0,0.0
2039,203.696,6.3,0,0.0
2320,231.772,7.2,0,0.0
2682,267.934,8.3,0,0.0
2566,256.345,8.0,0,0.0
3266,326.276,10.2,0,0.0
,,,,
,,,,
862,86.114,2.6,0,0.0
1009,100.800,3.1,0,0.0
6837,683.019,21.3,0,0.0
,,,,
2984,298.106,9.3,0,0.0
4017,401.301,12.5,0,0.0
9124,911.489,28.5,0,0.0
1244,124.277,3.8,0,0.0
,,,,450.526
29,2.897,0.0,0,0.0
22,2.198,0.0,0,0.0
52,5.195,0.1,0,0.0
119,11.888,0.3,0,0.0
136,13.587,0.4,0,0.0
54,5.395,0.1,0,0.0
,,,0.7,
176,17.582,0.5,0,0.0
259,25.874,0.8,0,0.0
739,73.827,2.3,0,0.0
17316,1729.894,54.0,0,0.0
3547,354.349,11.0,0,0.0
256,25.574,0.8,0,0.0
591,59.042,1.8,0,0.0
244,24.376,0.7,0,0.0
10545,1053.460,32.9,0,0.0
13041,1302.793,40.7,0,0.0
179,17.882,0.5,0,0.0
188,18.781,0.5,0,0.0
159,15.884,0.4,0,0.0
580,57.943,1.8,0,0.0
19141,1911.055,59.7,0,0.0
7148,714.087,22.3,0,0.0
107,10.689,0.3,0,0.0
158,15.784,0.4,0,0.0
201,20.080,0.6,0,0.0
892,89.112,2.7,0,0.0
2145,214.286,6.7,0,0.0
19754,1973.454,61.6,0,0.0
483,48.252,1.5,0,0.0
216,21.578,0.6,0,0.0
512,51.150,1.6,0,0.0
129,12.887,0.4,0,0.0
20869,2084.844,65.1,0,0.0
6627,662.045,20.7,0,0.0
154,15.385,0.4,0,0.0
190,18.981,0.5,0,0.0
383,38.262,1.1,0,0.0
552,55.145,1.7,0,0.0
661,66.034,2.0,0,0.0
23883,2385.934,74.5,0,0.0
141,14.086,0.4,0,0.0
129,12.887,0.4,0,0.0
