#ops,ops/sec,mb/sec,us/op,ms/op
2004,200.201,0.7,0,0.0
,,,,308.006
,,,,318.016
3311,330.773,1.2,0,0.0
3049,304.596,1.1,0,0.0
18479,1846.070,7.2,0,0.0
1651,164.936,0.6,0,0.0
,,,,
4213,420.883,1.6,0,0.0
,,,4.3,
21557,2153.549,8.4,0,0.0
25620,2559.463,10.0,0,0.0
78835,7875.690,30.7,0,0.0
263460,26319.933,102.8,0,0.0
,,,0.2,
422,42.158,0.1,0,0.0
,,,,458.156
263,26.274,0.1,0,0.0
,,,,
500,49.950,0.1,0,0.0
624,62.338,0.2,0,0.0
,,,,508.206
,,,,518.216
,,,0.1,
684,68.333,0.2,0,0.0
,,,0.3,
,,,0.2,
,,,,568.266
,,,,
,,,,588.286
,,,,598.296
,,,,
651,65.036,0.2,0,0.0
499,49.850,0.1,0,0.0
584,58.342,0.2,0,0.0
967,96.605,0.3,0,0.0
712,71.129,0.2,0,0.0
310,30.969,0.1,0,0.0
711,71.030,0.2,0,0.0
840,83.917,0.3,0,0.0
547,54.645,0.2,0,0.0
970,96.904,0.3,0,0.0
917,91.609,0.3,0,0.0
1082,108.093,0.4,0,0.0
654,65.335,0.2,0,0.0
675,67.433,0.2,0,0.0
967,96.604,0.3,0,0.0
817,81.619,0.3,0,0.0
820,81.919,0.3,0,0.0
1059,105.796,0.4,0,0.0
810,80.919,0.3,0,0.0
877,87.613,0.3,0,0.0
1269,126.774,0.4,0,0.0
1096,109.491,0.4,0,0.0
1230,122.879,0.4,0,0.0
1023,102.198,0.3,0,0.0
1486,148.453,0.5,0,0.0
964,96.305,0.3,0,0.0
1151,114.987,0.4,0,0.0
1515,151.349,0.5,0,0.0
