#ops,ops/sec,mb/sec,us/op,ms/op
,,,31.9,
98304,9820.691,12.8,0,0.0
136368,13623.174,17.7,0,0.0
109391,10928.254,14.2,0,0.0
207901,20769.694,27.0,0,0.0
185314,18513.042,24.1,0,0.0
214693,21448.017,27.9,0,0.0
178523,17834.606,23.2,0,0.0
193427,19323.523,25.1,0,0.0
91261,9116.997,11.8,0,0.0
85949,8586.375,11.1,0,0.0
109391,10928.362,14.2,0,0.0
124275,12415.082,16.1,0,0.0
132976,13284.537,17.3,0,0.0
200922,20072.276,26.1,0,0.0
92323,9223.159,12.0,0,0.0
139968,13982.911,18.2,0,0.0
153285,15313.198,19.9,0,0.0
133054,13292.251,17.3,0,0.0
114617,11450.418,14.9,0,0.0
80164,8008.450,10.4,0,0.0
95711,9561.631,12.4,0,0.0
114186,11407.278,14.8,0,0.0
122831,12270.928,15.9,0,0.0
78339,7826.144,10.2,0,0.0
110673,11056.331,14.4,0,0.0
103174,10307.171,13.4,0,0.0
94133,9403.891,12.2,0,0.0
85705,8562.073,11.1,0,0.0
93338,9324.553,12.1,0,0.0
100860,10076.022,13.1,0,0.0
98310,9821.280,12.8,0,0.0
116610,11649.384,15.1,0,0.0
75387,7531.276,9.8,0,0.0
94136,9404.300,12.2,0,0.0
82245,8216.349,10.7,0,0.0
82332,8224.982,10.7,0,0.0
88542,8845.481,11.5,0,0.0
90687,9059.714,11.8,0,0.0
91185,9109.385,11.8,0,0.0
114727,11461.344,14.9,0,0.0
95643,9554.855,12.4,0,0.0
86985,8689.874,11.3,0,0.0
,,,,
70285,7021.610,9.1,0,0.0
82615,8253.257,10.7,0,0.0
118043,11792.597,15.3,0,0.0
87270,8718.362,11.3,0,0.0
74805,7473.143,9.7,0,0.0
78589,7851.102,10.2,0,0.0
83901,8381.807,10.9,0,0.0
81887,8180.600,10.6,0,0.0
73113,7304.056,9.5,0,0.0
93661,9356.811,12.1,0,0.0
46747,4670.041,6.0,0,0.0
76881,7680.552,10.0,0,0.0
68340,6827.223,8.8,0,0.0
91392,9130.085,11.9,0,0.0
79611,7953.265,10.3,0,0.0
87835,8774.796,11.4,0,0.0
59102,5904.343,7.6,0,0.0
71583,7151.207,9.3,0,0.0
72535,7246.266,9.4,0,0.0
71039,7096.905,9.2,0,0.0
89937,8984.794,11.7,0,0.0
66288,6622.186,8.6,0,0.0
59164,5910.535,7.7,0,0.0
65204,6513.895,8.4,0,0.0
70617,7054.745,9.1,0,0.0
48261,4821.351,6.2,0,0.0
72999,7292.653,9.5,0,0.0
55371,5531.624,7.2,0,0.0
80616,8053.540,10.4,0,0.0
54144,5409.041,7.0,0,0.0
60694,6063.438,7.9,0,0.0
73460,7338.666,9.5,0,0.0
57620,5756.293,7.5,0,0.0
65148,6508.335,8.4,0,0.0
39949,3990.939,5.2,0,0.0
63155,6309.294,8.2,0,0.0
72487,7241.465,9.4,0,0.0
56378,5632.199,7.3,0,0.0
65697,6563.206,8.5,0,0.0
52500,5244.824,6.8,0,0.0
47913,4786.527,6.2,0,0.0
68168,6810.045,8.8,0,0.0
59516,5945.749,7.7,0,0.0
57882,5782.414,7.5,0,0.0
64050,6398.708,8.3,0,0.0
32406,3237.391,4.2,0,0.0
64608,6454.397,8.4,0,0.0
48424,4837.557,6.3,0,0.0
62516,6245.461,8.1,0,0.0
65320,6525.521,8.5,0,0.0
45528,4548.292,5.9,0,0.0
65780,6571.481,8.5,0,0.0
51777,5172.567,6.7,0,0.0
58885,5882.661,7.6,0,0.0
48488,4843.956,6.3,0,0.0
56385,5632.927,7.3,0,0.0
55416,5536.107,7.2,0,0.0
52449,5239.734,6.8,0,0.0
51885,5183.317,6.7,0,0.0
53947,5389.401,7.0,0,0.0
68300,6823.248,8.8,0,0.0
47718,4767.034,6.2,0,0.0
40658,4061.804,5.2,0,0.0
38146,3810.818,4.9,0,0.0
55600,5554.492,7.2,0,0.0
31473,3144.179,4.0,0,0.0
63897,6383.372,8.3,0,0.0
44053,4400.936,5.7,0,0.0
57158,5710.096,7.4,0,0.0
32677,3264.484,4.2,0,0.0
61823,6176.127,8.0,0,0.0
40866,4082.579,5.3,0,0.0
27539,2751.155,3.5,0,0.0
45897,4585.179,5.9,0,0.0
63099,6303.651,8.2,0,0.0
30759,3072.849,4.0,0,0.0
60948,6088.757,7.9,0,0.0
30621,3059.046,3.9,0,0.0
61383,6132.226,7.9,0,0.0
30252,3022.225,3.9,0,0.0
46924,4687.712,6.1,0,0.0
45177,4513.264,5.8,0,0.0
30525,3049.454,3.9,0,0.0
60978,6091.807,7.9,0,0.0
30456,3042.560,3.9,0,0.0
,,,,6683
41169,4112.791,5.3,0,0.0
29985,2995.556,3.9,0,0.0
77949,7787.101,10.1,0,0.0
30219,3018.938,3.9,0,0.0
53878,5382.457,7.0,0,0.0
36134,3609.796,4.7,0,0.0
30252,3022.223,3.9,0,0.0
59856,5979.664,7.7,0,0.0
29955,2992.535,3.9,0,0.0
,,,,
51878,5182.670,6.7,0,0.0
29829,2979.946,3.8,0,0.0
59535,5947.602,7.7,0,0.0
29664,2963.436,3.8,0,0.0
51991,5193.905,6.7,0,0.0
37024,3698.792,4.8,0,0.0
29682,2965.262,3.8,0,0.0
48948,4889.945,6.3,0,0.0
39662,3962.277,5.1,0,0.0
29697,2966.756,3.8,0,0.0
