#ops,ops/sec,mb/sec,us/op,ms/op
2532,252.948,0.0,0,0.0
3044,304.098,0.0,0,0.0
3668,366.433,0.0,0,0.0
2871,286.816,0.0,0,0.0
3469,346.559,0.0,0,0.0
3941,393.709,0.0,0,0.0
4047,404.298,0.0,0,0.0
4257,425.278,0.0,0,0.0
4665,466.037,0.0,0,0.0
6031,602.502,0.0,0,0.0
5700,569.434,0.0,0,0.0
5515,550.953,0.0,0,0.0
5479,547.352,0.0,0,0.0
5452,544.664,0.0,0,0.0
5459,545.359,0.0,0,0.0
5481,547.556,0.0,0,0.0
10897,1088.619,0.0,0,0.0
5509,550.354,0.0,0,0.0
5523,551.752,0.0,0,0.0
10994,1098.309,0.0,0,0.0
5525,551.952,0.0,0,0.0
5497,549.151,0.0,0,0.0
10917,1090.625,0.0,0,0.0
5468,546.258,0.0,0,0.0
5474,546.857,0.0,0,0.0
10924,1091.316,0.0,0,0.0
5540,553.451,0.0,0,0.0
11020,1100.906,0.0,0,0.0
5466,546.058,0.0,0,0.0
5512,550.653,0.0,0,0.0
11009,1099.798,0.0,0,0.0
5589,558.351,0.0,0,0.0
10930,1091.916,0.0,0,0.0
5491,548.555,0.0,0,0.0
10954,1094.313,0.0,0,0.0
5469,546.358,0.0,0,0.0
5485,547.956,0.0,0,0.0
11066,1105.502,0.0,0,0.0
5488,548.255,0.0,0,0.0
5525,551.952,0.0,0,0.0
10922,1091.109,0.0,0,0.0
5499,549.354,0.0,0,0.0
10960,1094.913,0.0,0,0.0
5488,548.260,0.0,0,0.0
5411,540.563,0.0,0,0.0
10958,1094.704,0.0,0,0.0
5473,546.762,0.0,0,0.0
10969,1095.812,0.0,0,0.0
5516,551.053,0.0,0,0.0
10979,1096.811,0.0,0,0.0
5461,545.558,0.0,0,0.0
10939,1092.814,0.0,0,0.0
5484,547.853,0.0,0,0.0
5490,548.454,0.0,0,0.0
10990,1097.919,0.0,0,0.0
5510,550.453,0.0,0,0.0
10957,1094.613,0.0,0,0.0
5463,545.758,0.0,0,0.0
10926,1091.516,0.0,0,0.0
5516,551.053,0.0,0,0.0
5503,549.750,0.0,0,0.0
10896,1088.526,0.0,0,0.0
5444,543.860,0.0,0,0.0
5454,544.859,0.0,0,0.0
10977,1096.611,0.0,0,0.0
5456,545.059,0.0,0,0.0
10965,1095.405,0.0,0,0.0
5434,542.865,0.0,0,0.0
10968,1095.703,0.0,0,0.0
5501,549.559,0.0,0,0.0
10970,1095.910,0.0,0,0.0
5430,542.462,0.0,0,0.0
5434,542.861,0.0,0,0.0
10953,1094.214,0.0,0,0.0
5495,548.954,0.0,0,0.0
5444,543.855,0.0,0,0.0
10966,1095.523,0.0,0,0.0
10951,1094.013,0.0,0,0.0
5465,545.959,0.0,0,0.0
5479,547.356,0.0,0,0.0
10892,1088.120,0.0,0,0.0
5512,550.653,0.0,0,0.0
10979,1096.811,0.0,0,0.0
5468,546.258,0.0,0,0.0
5458,545.259,0.0,0,0.0
11006,1099.508,0.0,0,0.0
5513,550.753,0.0,0,0.0
10896,1088.520,0.0,0,0.0
5519,551.353,0.0,0,0.0
5494,548.855,0.0,0,0.0
11005,1099.407,0.0,0,0.0
5538,553.250,0.0,0,0.0
11009,1099.807,0.0,0,0.0
5629,562.342,0.0,0,0.0
11052,1104.102,0.0,0,0.0
5484,547.857,0.0,0,0.0
5484,547.856,0.0,0,0.0
10941,1093.015,0.0,0,0.0
5434,542.861,0.0,0,0.0
10863,1085.223,0.0,0,0.0
5499,549.354,0.0,0,0.0
7235,722.783,0.0,0,0.0
9171,916.189,0.0,0,0.0
5492,548.655,0.0,0,0.0
10951,1094.012,0.0,0,0.0
5439,543.360,0.0,0,0.0
5443,543.759,0.0,0,0.0
10927,1091.615,0.0,0,0.0
10969,1095.812,0.0,0,0.0
4719,589.290,0.0,0,0.0
