#ops,ops/sec,mb/sec,us/op,ms/op
3449,344.561,42.7,0,0.0
3388,338.478,42.3,0,0.0
3252,324.894,40.6,0,0.0
3269,326.596,40.8,0,0.0
3333,332.986,41.6,0,0.0
3345,334.185,41.8,0,0.0
3342,333.885,41.7,0,0.0
3349,334.586,41.8,0,0.0
3370,336.682,42.1,0,0.0
3329,332.588,41.6,0,0.0
3375,337.182,42.1,0,0.0
3193,318.993,39.9,0,0.0
3329,332.593,41.6,0,0.0
3351,334.782,41.8,0,0.0
3361,335.788,42.0,0,0.0
3219,321.594,40.2,0,0.0
3285,328.192,41.0,0,0.0
3331,332.786,41.6,0,0.0
3252,324.893,40.6,0,0.0
3243,323.999,40.5,0,0.0
3276,327.291,40.9,0,0.0
3237,323.395,40.4,0,0.0
3287,328.390,41.0,0,0.0
3317,331.385,41.4,0,0.0
3351,334.783,41.8,0,0.0
3193,319.003,39.9,0,0.0
3384,338.081,42.3,0,0.0
3226,322.296,40.3,0,0.0
3259,325.593,40.7,0,0.0
3277,327.393,40.9,0,0.0
3234,323.093,40.4,0,0.0
3250,324.693,40.6,0,0.0
3272,326.896,40.9,0,0.0
3352,334.882,41.9,0,0.0
3228,322.498,40.3,0,0.0
3343,333.980,41.7,0,0.0
3200,319.701,40.0,0,0.0
3316,331.290,41.4,0,0.0
3317,331.388,41.4,0,0.0
3407,340.379,42.5,0,0.0
3314,331.086,41.4,0,0.0
3206,320.299,40.0,0,0.0
3272,326.892,40.9,0,0.0
3176,317.305,39.7,0,0.0
3326,332.289,41.5,0,0.0
3259,325.593,40.7,0,0.0
3292,328.887,41.1,0,0.0
3267,326.395,40.8,0,0.0
3271,326.794,40.8,0,0.0
3309,330.588,41.3,0,0.0
3239,323.594,40.4,0,0.0
3318,331.487,41.4,0,0.0
3488,348.467,43.6,0,0.0
3267,326.392,40.8,0,0.0
3254,325.065,40.6,0,0.0
3355,335.186,41.9,0,0.0
3217,321.397,40.2,0,0.0
3267,326.392,40.8,0,0.0
3264,326.093,40.8,0,0.0
3208,320.497,40.1,0,0.0
3311,330.788,41.3,0,0.0
3316,331.288,41.4,0,0.0
3374,337.082,42.1,0,0.0
3287,328.390,41.0,0,0.0
3396,339.280,42.4,0,0.0
3308,330.488,41.3,0,0.0
3333,332.986,41.6,0,0.0
3324,332.086,41.5,0,0.0
3436,343.276,42.9,0,0.0
3488,348.469,43.6,0,0.0
3381,337.783,42.2,0,0.0
3565,356.164,44.5,0,0.0
3550,354.664,44.3,0,0.0
1993,331.869,41.5,0,0.0
