#ops,ops/sec,mb/sec,us/op,ms/op
447,44.657,41.5,0,0.0
421,42.060,42.1,0,0.0
446,44.558,44.6,0,0.0
423,42.260,42.3,0,0.0
437,43.659,43.7,0,0.0
433,43.259,43.3,0,0.0
437,43.659,43.7,0,0.0
434,43.360,43.4,0,0.0
440,43.959,44.0,0,0.0
460,45.957,46.0,0,0.0
430,42.960,43.0,0,0.0
462,46.157,46.2,0,0.0
453,45.257,45.3,0,0.0
413,41.261,41.3,0,0.0
422,42.160,42.2,0,0.0
453,45.258,45.3,0,0.0
432,43.159,43.2,0,0.0
435,43.459,43.5,0,0.0
447,44.658,44.7,0,0.0
432,43.159,43.2,0,0.0
409,40.861,40.9,0,0.0
444,44.358,44.4,0,0.0
430,42.960,43.0,0,0.0
432,43.161,43.2,0,0.0
431,43.059,43.1,0,0.0
443,44.259,44.3,0,0.0
443,44.258,44.3,0,0.0
423,42.260,42.3,0,0.0
418,41.760,41.8,0,0.0
416,41.561,41.6,0,0.0
415,41.461,41.5,0,0.0
415,41.461,41.5,0,0.0
457,45.658,45.7,0,0.0
432,43.159,43.2,0,0.0
438,43.759,43.8,0,0.0
425,42.459,42.5,0,0.0
443,44.258,44.3,0,0.0
419,41.861,41.9,0,0.0
442,44.158,44.2,0,0.0
436,43.559,43.6,0,0.0
439,43.859,43.9,0,0.0
433,43.259,43.3,0,0.0
436,43.561,43.6,0,0.0
423,42.260,42.3,0,0.0
426,42.560,42.6,0,0.0
423,42.260,42.3,0,0.0
434,43.359,43.4,0,0.0
422,42.160,42.2,0,0.0
430,42.960,43.0,0,0.0
428,42.759,42.8,0,0.0
441,44.058,44.1,0,0.0
433,43.260,43.3,0,0.0
423,42.260,42.3,0,0.0
423,42.260,42.3,0,0.0
417,41.660,41.7,0,0.0
434,43.361,43.4,0,0.0
437,43.659,43.7,0,0.0
420,41.960,42.0,0,0.0
431,43.060,43.1,0,0.0
447,44.658,44.7,0,0.0
420,41.960,42.0,0,0.0
439,43.859,43.9,0,0.0
438,43.758,43.8,0,0.0
432,43.160,43.2,0,0.0
444,44.358,44.4,0,0.0
437,43.659,43.7,0,0.0
425,42.460,42.5,0,0.0
431,43.059,43.1,0,0.0
165,41.215,41.2,0,0.0
