#ops,ops/sec,mb/sec,us/op,ms/op
1665,166.342,163.1,0,0.0
2,0.200,0.2,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
159,15.886,15.9,0,0.0
44,4.396,4.4,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
146,14.585,14.6,0,0.0
40,3.996,4.0,0,0.0
12,1.199,1.2,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
130,12.987,13.0,0,0.0
34,3.397,3.4,0,0.0
32,3.197,3.2,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
123,12.289,12.3,0,0.0
40,3.996,4.0,0,0.0
27,2.697,2.7,0,0.0
1,0.100,0.1,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
145,14.485,14.5,0,0.0
37,3.696,3.7,0,0.0
7,0.699,0.7,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
141,14.086,14.1,0,0.0
31,3.097,3.1,0,0.0
19,1.898,1.9,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
136,13.588,13.6,0,0.0
31,3.097,3.1,0,0.0
25,2.498,2.5,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
126,12.587,12.6,0,0.0
38,3.796,3.8,0,0.0
37,3.696,3.7,0,0.0
55,5.495,5.5,0,0.0
60,5.994,6.0,0,0.0
100,9.990,10.0,0,0.0
94,9.391,9.4,0,0.0
67,6.693,6.7,0,0.0
55,5.495,5.5,0,0.0
54,5.395,5.4,0,0.0
54,5.395,5.4,0,0.0
75,7.493,7.5,0,0.0
123,12.288,12.3,0,0.0
130,12.987,13.0,0,0.0
114,11.389,11.4,0,0.0
76,7.593,7.6,0,0.0
46,4.596,4.6,0,0.0
60,5.994,6.0,0,0.0
88,8.791,8.8,0,0.0
131,13.088,13.1,0,0.0
75,7.493,7.5,0,0.0
116,11.589,11.6,0,0.0
95,9.491,9.5,0,0.0
87,8.691,8.7,0,0.0
146,14.586,14.6,0,0.0
55,5.495,5.5,0,0.0
114,11.390,11.4,0,0.0
109,10.889,10.9,0,0.0
92,9.191,9.2,0,0.0
78,7.793,7.8,0,0.0
86,8.592,8.6,0,0.0
74,7.393,7.4,0,0.0
81,8.092,8.1,0,0.0
87,8.692,8.7,0,0.0
61,6.094,6.1,0,0.0
32,3.197,3.2,0,0.0
121,12.088,12.1,0,0.0
90,8.991,9.0,0,0.0
51,5.095,5.1,0,0.0
71,7.093,7.1,0,0.0
99,9.891,9.9,0,0.0
105,10.490,10.5,0,0.0
128,12.788,12.8,0,0.0
126,12.587,12.6,0,0.0
52,5.195,5.2,0,0.0
99,9.890,9.9,0,0.0
87,8.691,8.7,0,0.0
120,11.988,12.0,0,0.0
64,6.394,6.4,0,0.0
98,9.790,9.8,0,0.0
75,7.493,7.5,0,0.0
107,10.689,10.7,0,0.0
87,8.692,8.7,0,0.0
87,8.691,8.7,0,0.0
87,8.691,8.7,0,0.0
80,7.992,8.0,0,0.0
72,7.193,7.2,0,0.0
97,9.690,9.7,0,0.0
114,11.389,11.4,0,0.0
115,11.489,11.5,0,0.0
96,9.590,9.6,0,0.0
81,8.093,8.1,0,0.0
78,7.792,7.8,0,0.0
106,10.590,10.6,0,0.0
99,9.891,9.9,0,0.0
102,10.190,10.2,0,0.0
91,9.091,9.1,0,0.0
85,8.492,8.5,0,0.0
83,8.292,8.3,0,0.0
124,12.388,12.4,0,0.0
50,4.995,5.0,0,0.0
105,10.490,10.5,0,0.0
108,10.789,10.8,0,0.0
98,9.790,9.8,0,0.0
103,10.291,10.3,0,0.0
103,10.290,10.3,0,0.0
117,11.689,11.7,0,0.0
77,7.693,7.7,0,0.0
152,15.186,15.2,0,0.0
79,7.892,7.9,0,0.0
53,5.295,5.3,0,0.0
121,12.088,12.1,0,0.0
123,12.288,12.3,0,0.0
74,7.393,7.4,0,0.0
102,10.191,10.2,0,0.0
97,9.690,9.7,0,0.0
120,11.989,12.0,0,0.0
93,9.291,9.3,0,0.0
116,11.589,11.6,0,0.0
83,8.292,8.3,0,0.0
78,7.792,7.8,0,0.0
79,7.893,7.9,0,0.0
102,10.190,10.2,0,0.0
73,7.293,7.3,0,0.0
97,9.691,9.7,0,0.0
87,8.691,8.7,0,0.0
67,6.694,6.7,0,0.0
89,8.891,8.9,0,0.0
104,10.390,10.4,0,0.0
90,8.992,9.0,0,0.0
63,6.294,6.3,0,0.0
83,8.292,8.3,0,0.0
92,9.192,9.2,0,0.0
73,7.293,7.3,0,0.0
97,9.691,9.7,0,0.0
94,9.391,9.4,0,0.0
73,7.293,7.3,0,0.0
97,9.690,9.7,0,0.0
79,7.893,7.9,0,0.0
56,5.595,5.6,0,0.0
88,8.791,8.8,0,0.0
124,12.388,12.4,0,0.0
99,9.890,9.9,0,0.0
65,6.494,6.5,0,0.0
94,9.391,9.4,0,0.0
81,8.092,8.1,0,0.0
70,6.993,7.0,0,0.0
102,10.190,10.2,0,0.0
95,9.491,9.5,0,0.0
105,10.490,10.5,0,0.0
120,11.988,12.0,0,0.0
115,11.490,11.5,0,0.0
84,8.392,8.4,0,0.0
122,12.188,12.2,0,0.0
90,8.992,9.0,0,0.0
71,7.094,7.1,0,0.0
112,11.190,11.2,0,0.0
122,12.189,12.2,0,0.0
120,11.989,12.0,0,0.0
139,13.887,13.9,0,0.0
98,9.791,9.8,0,0.0
93,9.291,9.3,0,0.0
120,11.988,12.0,0,0.0
144,14.386,14.4,0,0.0
98,9.790,9.8,0,0.0
77,7.692,7.7,0,0.0
58,5.795,5.8,0,0.0
70,6.994,7.0,0,0.0
90,8.992,9.0,0,0.0
88,8.792,8.8,0,0.0
58,5.794,5.8,0,0.0
90,8.992,9.0,0,0.0
132,13.187,13.2,0,0.0
110,10.990,11.0,0,0.0
81,8.093,8.1,0,0.0
75,7.492,7.5,0,0.0
89,8.891,8.9,0,0.0
82,8.193,8.2,0,0.0
80,7.992,8.0,0,0.0
112,11.190,11.2,0,0.0
91,9.092,9.1,0,0.0
89,8.892,8.9,0,0.0
88,8.792,8.8,0,0.0
91,9.092,9.1,0,0.0
91,9.091,9.1,0,0.0
131,13.087,13.1,0,0.0
69,6.893,6.9,0,0.0
116,11.588,11.6,0,0.0
112,11.190,11.2,0,0.0
116,11.588,11.6,0,0.0
89,8.891,8.9,0,0.0
117,11.688,11.7,0,0.0
132,13.188,13.2,0,0.0
109,10.889,10.9,0,0.0
92,9.192,9.2,0,0.0
118,11.788,11.8,0,0.0
77,7.692,7.7,0,0.0
83,8.292,8.3,0,0.0
88,8.792,8.8,0,0.0
92,9.192,9.2,0,0.0
119,11.888,11.9,0,0.0
86,8.591,8.6,0,0.0
113,11.290,11.3,0,0.0
90,8.991,9.0,0,0.0
82,8.192,8.2,0,0.0
111,11.090,11.1,0,0.0
121,12.089,12.1,0,0.0
76,7.593,7.6,0,0.0
67,6.693,6.7,0,0.0
111,11.089,11.1,0,0.0
88,8.791,8.8,0,0.0
81,8.093,8.1,0,0.0
110,10.990,11.0,0,0.0
79,7.893,7.9,0,0.0
47,4.696,4.7,0,0.0
74,7.393,7.4,0,0.0
116,11.588,11.6,0,0.0
116,11.589,11.6,0,0.0
143,14.286,14.3,0,0.0
121,12.088,12.1,0,0.0
87,8.691,8.7,0,0.0
84,8.392,8.4,0,0.0
88,8.791,8.8,0,0.0
106,10.590,10.6,0,0.0
52,5.195,5.2,0,0.0
87,8.691,8.7,0,0.0
102,10.190,10.2,0,0.0
85,8.492,8.5,0,0.0
76,7.593,7.6,0,0.0
46,4.595,4.6,0,0.0
85,9.435,9.4,0,0.0
