#ops,ops/sec,mb/sec,us/op,ms/op
422403,42198.730,164.7,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
26862,2683.512,10.4,0,0.0
20151,2013.273,7.8,0,0.0
5409,540.410,2.1,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
38970,3893.441,15.2,0,0.0
10384,1037.457,4.0,0,0.0
1265,126.376,0.4,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
34263,3423.174,13.3,0,0.0
8907,889.812,3.4,0,0.0
5992,598.655,2.3,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
40301,4026.059,15.7,0,0.0
7622,761.434,2.9,0,0.0
3065,306.193,1.1,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
32097,3206.475,12.5,0,0.0
10330,1031.973,4.0,0,0.0
5755,574.977,2.2,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
38382,3834.717,14.9,0,0.0
8299,829.150,3.2,0,0.0
1340,133.878,0.5,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
33859,3382.502,13.2,0,0.0
8520,851.159,3.3,0,0.0
9700,969.117,3.7,0,0.0
,,,0.7,
16149,1613.279,6.3,0,0.0
9579,956.963,3.7,0,0.0
9301,929.184,3.6,0,0.0
9485,947.641,3.7,0,0.0
15113,1509.931,5.9,0,0.0
17032,1701.648,6.6,0,0.0
26182,2615.601,10.2,0,0.0
23954,2393.030,9.3,0,0.0
14091,1407.713,5.5,0,0.0
16916,1689.926,6.6,0,0.0
12759,1274.734,4.9,0,0.0
15946,1593.022,6.2,0,0.0
23882,2386.031,9.3,0,0.0
24792,2476.732,9.6,0,0.0
21936,2191.437,8.5,0,0.0
20107,2008.683,7.8,0,0.0
32347,3231.509,12.6,0,0.0
13016,1300.289,5.0,0,0.0
27597,2756.938,10.7,0,0.0
8772,876.330,3.4,0,0.0
34578,3454.398,13.5,0,0.0
30904,3087.396,12.0,0,0.0
20956,2093.520,8.1,0,0.0
15762,1574.776,6.1,0,0.0
23620,2359.849,9.2,0,0.0
22791,2276.843,8.9,0,0.0
20466,2044.731,7.9,0,0.0
20125,2010.514,7.8,0,0.0
14739,1472.438,5.7,0,0.0
20935,2091.414,8.1,0,0.0
22388,2236.544,8.7,0,0.0
22506,2248.333,8.7,0,0.0
12178,1216.577,4.7,0,0.0
13759,1374.659,5.3,0,0.0
20559,2054.035,8.0,0,0.0
16177,1616.205,6.3,0,0.0
4848,484.318,1.8,0,0.0
28644,2861.583,11.1,0,0.0
16269,1625.413,6.3,0,0.0
21094,2107.253,8.2,0,0.0
12544,1253.179,4.9,0,0.0
12970,1295.820,5.0,0,0.0
27323,2729.800,10.6,0,0.0
22970,2294.721,8.9,0,0.0
20285,2026.660,7.9,0,0.0
22384,2236.336,8.7,0,0.0
24235,2421.096,9.4,0,0.0
19570,1955.225,7.6,0,0.0
18400,1838.332,7.1,0,0.0
20611,2059.228,8.0,0,0.0
20731,2071.221,8.0,0,0.0
18894,1887.518,7.3,0,0.0
21009,2098.992,8.2,0,0.0
14481,1446.660,5.6,0,0.0
28490,2846.160,11.1,0,0.0
19582,1956.410,7.6,0,0.0
27673,2764.531,10.8,0,0.0
25376,2535.299,9.9,0,0.0
22649,2262.852,8.8,0,0.0
21034,2101.338,8.2,0,0.0
19891,1987.296,7.7,0,0.0
29684,2965.712,11.5,0,0.0
16560,1654.490,6.4,0,0.0
25556,2553.045,9.9,0,0.0
24363,2434.090,9.5,0,0.0
20633,2061.415,8.0,0,0.0
19110,1909.090,7.4,0,0.0
24803,2477.849,9.6,0,0.0
18798,1877.928,7.3,0,0.0
22255,2223.484,8.6,0,0.0
22728,2270.542,8.8,0,0.0
22347,2232.482,8.7,0,0.0
27596,2757.097,10.7,0,0.0
15642,1562.660,6.1,0,0.0
16855,1683.971,6.5,0,0.0
22014,2199.406,8.5,0,0.0
28613,2858.702,11.1,0,0.0
20354,2033.553,7.9,0,0.0
22689,2266.843,8.8,0,0.0
29065,2903.838,11.3,0,0.0
21959,2193.703,8.5,0,0.0
19221,1920.350,7.5,0,0.0
22899,2287.627,8.9,0,0.0
17354,1733.747,6.7,0,0.0
21976,2195.421,8.5,0,0.0
26498,2647.157,10.3,0,0.0
22957,2293.404,8.9,0,0.0
13924,1391.145,5.4,0,0.0
22982,2296.111,8.9,0,0.0
29780,2975.033,11.6,0,0.0
18634,1861.704,7.2,0,0.0
18527,1850.858,7.2,0,0.0
26965,2693.946,10.5,0,0.0
21731,2170.927,8.4,0,0.0
15974,1595.946,6.2,0,0.0
21714,2169.242,8.4,0,0.0
28933,2890.664,11.3,0,0.0
28665,2863.633,11.1,0,0.0
15280,1526.508,5.9,0,0.0
20391,2037.177,7.9,0,0.0
33171,3313.819,12.9,0,0.0
26869,2684.248,10.4,0,0.0
18434,1841.734,7.2,0,0.0
22172,2215.107,8.6,0,0.0
30577,3054.939,11.9,0,0.0
23056,2303.504,9.0,0,0.0
19861,1984.120,7.7,0,0.0
22101,2208.016,8.6,0,0.0
25256,2523.320,9.8,0,0.0
16352,1633.719,6.3,0,0.0
22718,2269.712,8.8,0,0.0
33924,3389.052,13.2,0,0.0
24535,2451.093,9.5,0,0.0
20860,2083.971,8.1,0,0.0
12341,1232.986,4.8,0,0.0
11967,1195.609,4.6,0,0.0
15483,1546.812,6.0,0,0.0
25186,2516.321,9.8,0,0.0
28688,2866.206,11.2,0,0.0
32397,3236.740,12.6,0,0.0
18358,1834.006,7.1,0,0.0
28215,2818.942,11.0,0,0.0
17979,1796.270,7.0,0,0.0
27953,2792.537,10.9,0,0.0
23007,2298.538,8.9,0,0.0
19492,1947.434,7.6,0,0.0
15390,1537.468,6.0,0,0.0
32626,3259.612,12.7,0,0.0
27392,2736.448,10.7,0,0.0
14254,1423.985,5.5,0,0.0
29011,2898.468,11.3,0,0.0
21102,2108.105,8.2,0,0.0
23780,2375.841,9.2,0,0.0
24254,2423.201,9.4,0,0.0
20160,2014.174,7.8,0,0.0
27122,2709.718,10.5,0,0.0
16564,1654.756,6.4,0,0.0
23272,2325.088,9.0,0,0.0
26542,2651.794,10.3,0,0.0
15868,1585.363,6.1,0,0.0
24064,2404.216,9.4,0,0.0
26760,2673.572,10.4,0,0.0
18221,1820.435,7.1,0,0.0
14832,1481.746,5.7,0,0.0
28439,2841.325,11.1,0,0.0
28372,2834.627,11.0,0,0.0
15177,1516.323,5.9,0,0.0
26362,2633.775,10.2,0,0.0
18306,1828.798,7.1,0,0.0
29982,2995.475,11.7,0,0.0
16756,1674.073,6.5,0,0.0
16366,1634.949,6.3,0,0.0
26697,2667.027,10.4,0,0.0
28782,2875.320,11.2,0,0.0
16574,1655.899,6.4,0,0.0
18869,1885.188,7.3,0,0.0
22880,2285.735,8.9,0,0.0
21933,2191.295,8.5,0,0.0
20651,2063.074,8.0,0,0.0
25456,2543.042,9.9,0,0.0
21967,2194.558,8.5,0,0.0
27782,2775.660,10.8,0,0.0
18517,1849.854,7.2,0,0.0
17062,1704.502,6.6,0,0.0
20233,2021.446,7.9,0,0.0
14776,1476.128,5.7,0,0.0
18361,1834.264,7.1,0,0.0
22908,2288.703,8.9,0,0.0
18855,1883.624,7.3,0,0.0
22734,2271.150,8.8,0,0.0
22517,2249.470,8.7,0,0.0
19642,1962.266,7.6,0,0.0
21714,2169.434,8.4,0,0.0
21309,2128.778,8.3,0,0.0
27036,2701.150,10.5,0,0.0
22492,2246.974,8.7,0,0.0
16683,1666.771,6.5,0,0.0
18777,1875.833,7.3,0,0.0
20843,2082.411,8.1,0,0.0
23122,2309.892,9.0,0,0.0
28565,2853.884,11.1,0,0.0
20671,2065.024,8.0,0,0.0
19471,1945.166,7.6,0,0.0
15058,1504.434,5.8,0,0.0
18773,1875.596,7.3,0,0.0
29967,2993.754,11.7,0,0.0
26367,2634.106,10.2,0,0.0
29778,2974.895,11.6,0,0.0
25171,2514.819,9.8,0,0.0
24502,2447.979,9.5,0,0.0
