#ops,ops/sec,mb/sec,us/op,ms/op
6012,600.622,14.2,0,0.0
5088,508.307,11.3,0,0.0
5249,524.381,12.3,0,0.0
4583,457.864,11.0,0,0.0
4363,435.871,10.0,0,0.0
4581,457.650,10.2,0,0.0
5039,503.405,11.8,0,0.0
4916,491.113,11.4,0,0.0
5611,560.566,12.7,0,0.0
5450,544.479,12.9,0,0.0
,,,,8986
4882,487.716,11.6,0,0.0
5226,522.106,12.0,0,0.0
,,,11.3,
3624,362.044,8.5,0,0.0
5602,559.649,13.2,0,0.0
5236,523.081,12.1,0,0.0
5295,528.979,12.6,0,0.0
5017,501.222,11.8,0,0.0
5407,540.185,12.4,0,0.0
5515,550.961,13.6,0,0.0
1381,137.964,3.7,0,0.0
5987,598.103,13.9,0,0.0
,,,,
,,,13.0,
4962,495.740,11.5,0,0.0
5184,517.902,12.6,0,0.0
5402,539.668,12.8,0,0.0
5333,532.775,12.2,0,0.0
5800,579.450,13.6,0,0.0
5057,505.206,12.0,0,0.0
4515,451.059,10.1,0,0.0
4522,451.758,10.4,0,0.0
1837,183.519,4.3,0,0.0
5295,528.983,11.9,0,0.0
5387,538.168,13.0,0,0.0
4378,437.370,10.5,0,0.0
4378,437.374,10.6,0,0.0
3313,330.976,8.2,0,0.0
4794,478.927,11.1,0,0.0
5446,544.064,13.1,0,0.0
3797,379.331,9.0,0,0.0
,,,,8986
5120,511.499,11.6,0,0.0
5088,508.303,12.1,0,0.0
4442,443.765,10.2,0,0.0
4646,464.142,10.2,0,0.0
5513,550.761,13.4,0,0.0
5303,529.773,11.8,0,0.0
4970,496.516,11.5,0,0.0
5380,537.473,12.9,0,0.0
5426,542.066,13.0,0,0.0
3826,382.224,9.4,0,0.0
4206,420.185,9.1,0,0.0
,,,10.4,
4351,434.670,9.9,0,0.0
5281,527.581,12.0,0,0.0
5392,538.671,12.8,0,0.0
5368,536.273,12.3,0,0.0
5353,534.783,12.5,0,0.0
