#ops,ops/sec,mb/sec,us/op,ms/op
447,44.656,44.6,0,0.0
520,51.948,51.9,0,0.0
542,54.147,54.1,0,0.0
540,53.946,53.9,0,0.0
566,56.544,56.5,0,0.0
559,55.845,55.8,0,0.0
571,57.043,57.0,0,0.0
565,56.444,56.4,0,0.0
570,56.943,56.9,0,0.0
576,57.543,57.5,0,0.0
565,56.444,56.4,0,0.0
552,55.146,55.1,0,0.0
564,56.344,56.3,0,0.0
566,56.544,56.5,0,0.0
567,56.643,56.6,0,0.0
556,55.545,55.5,0,0.0
566,56.544,56.5,0,0.0
560,55.945,55.9,0,0.0
559,55.845,55.8,0,0.0
554,55.345,55.3,0,0.0
557,55.645,55.6,0,0.0
555,55.445,55.4,0,0.0
557,55.645,55.6,0,0.0
564,56.344,56.3,0,0.0
571,57.043,57.0,0,0.0
570,56.944,56.9,0,0.0
559,55.845,55.8,0,0.0
564,56.344,56.3,0,0.0
558,55.745,55.7,0,0.0
562,56.144,56.1,0,0.0
554,55.345,55.3,0,0.0
565,56.444,56.4,0,0.0
576,57.543,57.5,0,0.0
559,55.844,55.8,0,0.0
565,56.444,56.4,0,0.0
505,50.450,50.4,0,0.0
558,55.745,55.7,0,0.0
565,56.444,56.4,0,0.0
571,57.043,57.0,0,0.0
566,56.544,56.5,0,0.0
572,57.143,57.1,0,0.0
567,56.644,56.6,0,0.0
563,56.244,56.2,0,0.0
559,55.845,55.8,0,0.0
576,57.543,57.5,0,0.0
560,55.944,55.9,0,0.0
563,56.244,56.2,0,0.0
565,56.444,56.4,0,0.0
572,57.143,57.1,0,0.0
556,55.545,55.5,0,0.0
557,55.645,55.6,0,0.0
572,57.143,57.1,0,0.0
563,56.245,56.2,0,0.0
574,57.343,57.3,0,0.0
558,55.744,55.7,0,0.0
563,56.244,56.2,0,0.0
568,56.744,56.7,0,0.0
567,56.644,56.6,0,0.0
567,56.644,56.6,0,0.0
565,56.444,56.4,0,0.0
