#ops,ops/sec,mb/sec,us/op,ms/op
2645,264.237,8.1,0,0.0
3055,305.205,9.5,0,0.0
3430,342.661,10.7,0,0.0
3830,382.618,11.9,0,0.0
4172,416.790,13.0,0,0.0
4348,434.376,13.5,0,0.0
4479,447.457,13.9,0,0.0
4554,454.947,14.2,0,0.0
4637,463.245,14.4,0,0.0
4678,467.327,14.6,0,0.0
4687,468.244,14.6,0,0.0
4769,476.434,14.9,0,0.0
4757,475.227,14.8,0,0.0
4752,474.734,14.8,0,0.0
4785,478.024,14.9,0,0.0
4789,478.427,14.9,0,0.0
4866,486.124,15.2,0,0.0
4797,479.227,14.9,0,0.0
4818,481.321,15.0,0,0.0
4784,477.931,14.9,0,0.0
4759,475.431,14.8,0,0.0
4842,483.714,15.1,0,0.0
4777,477.236,14.9,0,0.0
4770,476.523,14.9,0,0.0
4823,481.831,15.0,0,0.0
4889,488.418,15.2,0,0.0
4861,485.616,15.1,0,0.0
4854,484.921,15.1,0,0.0
4802,479.729,15.0,0,0.0
4762,475.731,14.8,0,0.0
4844,483.922,15.1,0,0.0
4831,482.623,15.0,0,0.0
4797,479.227,14.9,0,0.0
4850,484.517,15.1,0,0.0
4797,479.227,14.9,0,0.0
4752,474.735,14.8,0,0.0
4754,474.931,14.8,0,0.0
4698,469.336,14.6,0,0.0
4812,480.721,15.0,0,0.0
4781,477.632,14.9,0,0.0
4820,481.520,15.0,0,0.0
4847,484.223,15.1,0,0.0
4813,480.829,15.0,0,0.0
4825,482.020,15.0,0,0.0
4740,473.536,14.8,0,0.0
4859,485.421,15.1,0,0.0
4863,485.820,15.1,0,0.0
4792,478.727,14.9,0,0.0
4828,482.324,15.0,0,0.0
4829,482.424,15.0,0,0.0
4852,484.721,15.1,0,0.0
4799,479.427,14.9,0,0.0
4835,483.023,15.1,0,0.0
4796,479.127,14.9,0,0.0
4848,484.321,15.1,0,0.0
4807,480.222,15.0,0,0.0
4849,484.425,15.1,0,0.0
4845,484.019,15.1,0,0.0
4813,480.825,15.0,0,0.0
4802,479.725,15.0,0,0.0
