#ops,ops/sec,mb/sec,us/op,ms/op
1542,154.046,0.6,0,0.0
1621,161.942,0.6,0,0.0
1734,173.228,0.6,0,0.0
1797,179.520,0.7,0,0.0
1885,188.313,0.7,0,0.0
1974,197.206,0.7,0,0.0
2069,206.695,0.8,0,0.0
2121,211.889,0.8,0,0.0
2143,214.088,0.8,0,0.0
2180,217.784,0.8,0,0.0
2214,221.180,0.8,0,0.0
2237,223.478,0.8,0,0.0
2289,228.673,0.8,0,0.0
2272,226.975,0.8,0,0.0
2262,225.975,0.8,0,0.0
2309,230.670,0.9,0,0.0
2301,229.873,0.8,0,0.0
2309,230.671,0.9,0,0.0
2263,226.075,0.8,0,0.0
2286,228.371,0.8,0,0.0
2349,234.669,0.9,0,0.0
2327,232.469,0.9,0,0.0
2324,232.169,0.9,0,0.0
2317,231.470,0.9,0,0.0
2305,230.271,0.9,0,0.0
2298,229.572,0.8,0,0.0
2317,231.470,0.9,0,0.0
2323,232.069,0.9,0,0.0
2297,229.473,0.8,0,0.0
2300,229.772,0.8,0,0.0
2300,229.770,0.8,0,0.0
2305,230.271,0.9,0,0.0
2323,232.067,0.9,0,0.0
2329,232.673,0.9,0,0.0
2336,233.368,0.9,0,0.0
2320,231.770,0.9,0,0.0
2334,233.166,0.9,0,0.0
2305,230.273,0.9,0,0.0
2309,230.669,0.9,0,0.0
2312,230.970,0.9,0,0.0
2339,233.668,0.9,0,0.0
,,,,
2341,233.868,0.9,0,0.0
2325,232.271,0.9,0,0.0
2339,233.668,0.9,0,0.0
2329,232.667,0.9,0,0.0
2331,232.869,0.9,0,0.0
2314,231.172,0.9,0,0.0
2346,234.367,0.9,0,0.0
2299,229.672,0.8,0,0.0
2333,233.069,0.9,0,0.0
2337,233.468,0.9,0,0.0
2342,233.964,0.9,0,0.0
2316,231.372,0.9,0,0.0
2376,237.366,0.9,0,0.0
,,,,
2326,232.370,0.9,0,0.0
2347,234.467,0.9,0,0.0
2332,232.969,0.9,0,0.0
2336,233.368,0.9,0,0.0
