#ops,ops/sec,mb/sec,us/op,ms/op
1762,176.025,5.5,0,0.0
1875,187.316,5.8,0,0.0
2059,205.695,6.4,0,0.0
1946,194.350,6.0,0,0.0
2086,208.392,6.5,0,0.0
2269,226.677,7.0,0,0.0
4335,433.069,13.5,0,0.0
1356,135.466,4.2,0,0.0
3002,299.902,9.3,0,0.0
6662,665.539,20.8,0,0.0
1070,106.892,3.3,0,0.0
5614,560.852,17.5,0,0.0
2004,200.201,6.2,0,0.0
3193,318.983,9.9,0,0.0
9126,911.695,28.5,0,0.0
725,72.428,2.2,0,0.0
6059,605.299,18.9,0,0.0
4530,452.550,14.1,0,0.0
675,67.433,2.1,0,0.0
13837,1382.326,43.2,0,0.0
274,27.373,0.8,0,0.0
444,44.356,1.3,0,0.0
446,44.556,1.3,0,0.0
12110,1209.798,37.8,0,0.0
182,18.182,0.5,0,0.0
1722,172.029,5.3,0,0.0
20521,2050.066,64.0,0,0.0
80,7.992,0.2,0,0.0
210,20.979,0.6,0,0.0
696,69.531,2.1,0,0.0
198,19.780,0.6,0,0.0
12013,1200.098,37.5,0,0.0
8328,831.982,26.0,0,0.0
298,29.770,0.9,0,0.0
577,57.643,1.8,0,0.0
851,85.015,2.6,0,0.0
4604,459.941,14.3,0,0.0
4649,464.446,14.5,0,0.0
338,33.766,1.0,0,0.0
3166,316.284,9.8,0,0.0
3545,354.148,11.0,0,0.0
5442,543.659,17.0,0,0.0
7047,704.007,22.0,0,0.0
1696,169.431,5.3,0,0.0
4760,475.527,14.8,0,0.0
7478,747.063,23.3,0,0.0
12995,1298.202,40.6,0,0.0
227,22.678,0.7,0,0.0
94,9.391,0.2,0,0.0
353,35.265,1.1,0,0.0
3093,308.996,9.6,0,0.0
13697,1368.331,42.8,0,0.0
157,15.685,0.4,0,0.0
50,4.995,0.1,0,0.0
896,89.512,2.8,0,0.0
3727,372.330,11.6,0,0.0
5197,519.179,16.2,0,0.0
2846,284.320,8.8,0,0.0
4429,442.461,13.8,0,0.0
3597,359.342,11.2,0,0.0
