#ops,ops/sec,mb/sec,us/op,ms/op
,,,,
1786,178.425,5.5,0,0.0
,,,,
1552,155.047,4.8,0,0.0
3298,329.473,10.3,0,0.0
3032,302.899,9.4,0,0.0
991,99.002,3.0,0,0.0
3982,397.809,12.4,0,0.0
8092,808.396,25.2,0,0.0
507,50.649,1.5,0,0.0
1274,127.275,3.9,0,0.0
3649,364.538,11.4,0,0.0
3825,382.121,11.9,0,0.0
6326,631.972,19.7,0,0.0
3456,345.255,10.8,0,0.0
5503,549.754,17.1,0,0.0
3249,324.577,10.1,0,0.0
8094,808.599,25.2,0,0.0
1675,167.333,5.2,0,0.0
488,48.751,1.5,0,0.0
16525,1650.886,51.5,0,0.0
314,31.369,0.9,0,0.0
224,22.378,0.7,0,0.0
1506,150.451,4.7,0,0.0
17712,1769.425,55.2,0,0.0
62,6.194,0.1,0,0.0
315,31.468,0.9,0,0.0
434,43.357,1.3,0,0.0
1148,114.686,3.5,0,0.0
17106,1708.906,53.3,0,0.0
294,29.371,0.9,0,0.0
591,59.042,1.8,0,0.0
753,75.225,2.3,0,0.0
8308,829.975,25.9,0,0.0
7466,745.853,23.3,0,0.0
162,16.184,0.5,0,0.0
232,23.177,0.7,0,0.0
,,,8.3,
6442,643.560,20.1,0,0.0
539,53.847,1.6,0,0.0
6204,619.781,19.3,0,0.0
3297,329.372,10.3,0,0.0
1390,138.862,4.3,0,0.0
6210,620.385,19.4,0,0.0
4941,493.613,15.4,0,0.0
4846,484.115,15.1,0,0.0
679,67.833,2.1,0,0.0
12456,1244.353,38.9,0,0.0
6326,631.972,19.7,0,0.0
323,32.268,1.0,0,0.0
635,63.437,1.9,0,0.0
13137,1312.397,41.0,0,0.0
1365,136.365,4.2,0,0.0
99,9.890,0.3,0,0.0
1500,149.851,4.6,0,0.0
6046,603.995,18.8,0,0.0
968,96.704,3.0,0,0.0
5400,539.464,16.8,0,0.0
2535,253.251,7.9,0,0.0
5265,525.971,16.4,0,0.0
