#ops,ops/sec,mb/sec,us/op,ms/op
2013,201.100,0.7,0,0.0
2262,225.978,0.8,0,0.0
2570,256.744,1.0,0,0.0
,,,1.0,
3640,363.640,1.4,0,0.0
7054,704.706,2.7,0,0.0
700,69.931,0.2,0,0.0
12228,1221.580,4.7,0,0.0
2994,299.103,1.1,0,0.0
4624,461.942,1.8,0,0.0
8297,828.878,3.2,0,0.0
,,,,
1349,134.766,0.5,0,0.0
1996,199.402,0.7,0,0.0
1712,171.029,0.6,0,0.0
2095,209.293,0.8,0,0.0
1854,185.216,0.7,0,0.0
2103,210.093,0.8,0,0.0
,,,,
2368,236.565,0.9,0,0.0
2301,229.870,0.8,0,0.0
2290,228.773,0.8,0,0.0
2435,243.259,0.9,0,0.0
2356,235.366,0.9,0,0.0
2647,264.438,1.0,0,0.0
3081,307.795,1.2,0,0.0
3168,316.486,1.2,0,0.0
3623,361.943,1.4,0,0.0
1939,193.708,0.7,0,0.0
3756,375.227,1.4,0,0.0
5744,573.832,2.2,0,0.0
5646,564.036,2.2,0,0.0
5837,583.125,2.2,0,0.0
4658,465.338,1.8,0,0.0
7096,708.898,2.7,0,0.0
7538,753.053,2.9,0,0.0
16093,1607.695,6.2,0,0.0
16717,1670.054,6.5,0,0.0
28708,2867.936,11.2,0,0.0
61364,6130.340,23.9,0,0.0
82142,8206.037,32.0,0,0.0
859,85.815,0.3,0,0.0
743,74.227,0.2,0,0.0
,,,0.0,
,,,,849.449
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
