#ops,ops/sec,mb/sec,us/op,ms/op
151677,15152.625,19.7,0,0.0
136865,13673.114,17.8,0,0.0
120150,12003.115,15.6,0,0.0
118429,11831.178,15.4,0,0.0
135461,13532.620,17.6,0,0.0
136166,13603.187,17.7,0,0.0
144714,14457.054,18.8,0,0.0
99755,9965.628,12.9,0,0.0
113780,11366.726,14.8,0,0.0
120942,12082.217,15.7,0,0.0
98304,9820.666,12.8,0,0.0
110322,11021.218,14.3,0,0.0
86299,8621.403,11.2,0,0.0
63589,6352.543,8.2,0,0.0
64263,6419.972,8.3,0,0.0
57948,5789.050,7.5,0,0.0
80133,8005.415,10.4,0,0.0
58584,5852.598,7.6,0,0.0
56711,5665.531,7.3,0,0.0
61125,6106.451,7.9,0,0.0
80639,8055.921,10.5,0,0.0
102332,10223.063,13.3,0,0.0
73603,7353.022,9.5,0,0.0
63962,6389.829,8.3,0,0.0
70398,7032.859,9.1,0,0.0
57629,5757.200,7.5,0,0.0
48492,4844.422,6.3,0,0.0
53397,5334.416,6.9,0,0.0
51491,5144.027,6.7,0,0.0
58338,5828.028,7.5,0,0.0
61437,6137.624,7.9,0,0.0
49400,4935.085,6.4,0,0.0
84955,8487.149,11.0,0,0.0
66597,6653.111,8.6,0,0.0
57828,5777.023,7.5,0,0.0
41648,4160.715,5.4,0,0.0
49340,4929.119,6.4,0,0.0
48757,4870.868,6.3,0,0.0
41304,4126.317,5.3,0,0.0
45656,4561.077,5.9,0,0.0
49999,4994.953,6.5,0,0.0
62810,6274.803,8.1,0,0.0
61947,6188.524,8.0,0,0.0
63024,6296.211,8.2,0,0.0
62550,6248.807,8.1,0,0.0
,,,,
37671,3763.391,4.9,0,0.0
38249,3821.097,4.9,0,0.0
,,,,514.380
,,,,
50211,5016.099,6.5,0,0.0
62550,6248.854,8.1,0,0.0
62611,6254.903,8.1,0,0.0
62294,6223.225,8.1,0,0.0
,,,,574.440
34665,3463.089,4.5,0,0.0
,,,,594.460
62370,6230.826,8.1,0,0.0
62623,6256.161,8.1,0,0.0
61820,6175.874,8.0,0,0.0
36975,3693.836,4.8,0,0.0
40569,4052.873,5.2,0,0.0
42700,4265.776,5.5,0,0.0
40310,4027.006,5.2,0,0.0
59267,5920.831,7.7,0,0.0
58323,5826.513,7.5,0,0.0
57213,5715.641,7.4,0,0.0
56286,5623.017,7.3,0,0.0
55836,5578.065,7.2,0,0.0
16971,1695.418,2.2,0,0.0
76308,7623.236,9.9,0,0.0
60477,6041.669,7.8,0,0.0
53001,5294.883,6.9,0,0.0
51729,5167.736,6.7,0,0.0
50619,5056.884,6.5,0,0.0
49362,4931.310,6.4,0,0.0
49125,4907.663,6.3,0,0.0
48228,4818.021,6.2,0,0.0
48102,4805.399,6.2,0,0.0
47145,4709.825,6.1,0,0.0
46551,4650.479,6.0,0,0.0
51681,5162.982,6.7,0,0.0
57243,5718.667,7.4,0,0.0
44345,4430.102,5.7,0,0.0
55767,5571.181,7.2,0,0.0
51423,5137.202,6.6,0,0.0
49524,4947.494,6.4,0,0.0
42765,4272.266,5.5,0,0.0
41922,4188.041,5.4,0,0.0
40713,4067.269,5.3,0,0.0
45540,4549.488,5.9,0,0.0
46857,4681.052,6.1,0,0.0
39044,3900.531,5.0,0,0.0
55136,5508.098,7.1,0,0.0
47389,4734.181,6.1,0,0.0
