#ops,ops/sec,mb/sec,us/op,ms/op
1038,103.696,0.0,0,0.0
3079,307.597,0.0,0,0.0
3096,309.291,0.0,0,0.0
3877,387.315,0.0,0,0.0
3740,373.632,0.0,0,0.0
2082,207.991,0.0,0,0.0
3982,397.806,0.0,0,0.0
2901,289.812,0.0,0,0.0
4750,474.526,0.0,0,0.0
4041,403.705,0.0,0,0.0
3938,393.406,0.0,0,0.0
4417,441.265,0.0,0,0.0
5463,545.758,0.0,0,0.0
2116,211.388,0.0,0,0.0
10086,1007.602,0.0,0,0.0
870,86.914,0.0,0,0.0
5435,542.961,0.0,0,0.0
5475,546.958,0.0,0,0.0
6045,603.905,0.0,0,0.0
9649,963.944,0.0,0,0.0
6305,629.874,0.0,0,0.0
5480,547.456,0.0,0,0.0
5574,556.847,0.0,0,0.0
5459,545.355,0.0,0,0.0
10923,1091.223,0.0,0,0.0
5464,545.853,0.0,0,0.0
5480,547.458,0.0,0,0.0
10912,1090.126,0.0,0,0.0
5483,547.753,0.0,0,0.0
5433,542.760,0.0,0,0.0
6673,666.643,0.0,0,0.0
9673,966.342,0.0,0,0.0
5478,547.252,0.0,0,0.0
5434,542.862,0.0,0,0.0
10935,1092.415,0.0,0,0.0
5478,547.257,0.0,0,0.0
5475,546.962,0.0,0,0.0
10991,1098.009,0.0,0,0.0
5543,553.745,0.0,0,0.0
5461,545.563,0.0,0,0.0
10988,1097.701,0.0,0,0.0
5482,547.662,0.0,0,0.0
5440,543.460,0.0,0,0.0
7251,724.380,0.0,0,0.0
9130,912.089,0.0,0,0.0
5502,549.653,0.0,0,0.0
5525,551.954,0.0,0,0.0
10974,1096.308,0.0,0,0.0
5475,546.958,0.0,0,0.0
5471,546.559,0.0,0,0.0
5467,546.157,0.0,0,0.0
10950,1093.925,0.0,0,0.0
5425,541.962,0.0,0,0.0
9215,920.579,0.0,0,0.0
7171,716.390,0.0,0,0.0
5443,543.759,0.0,0,0.0
5472,546.659,0.0,0,0.0
8683,867.444,0.0,0,0.0
7752,774.424,0.0,0,0.0
5448,544.260,0.0,0,0.0
5492,548.661,0.0,0,0.0
10904,1089.311,0.0,0,0.0
5464,545.857,0.0,0,0.0
5468,546.257,0.0,0,0.0
10464,1045.370,0.0,0,0.0
6013,600.704,0.0,0,0.0
5505,549.954,0.0,0,0.0
5497,549.155,0.0,0,0.0
10976,1096.500,0.0,0,0.0
5470,546.459,0.0,0,0.0
5563,555.747,0.0,0,0.0
5480,547.462,0.0,0,0.0
10920,1090.917,0.0,0,0.0
5431,542.561,0.0,0,0.0
5442,543.656,0.0,0,0.0
9382,937.276,0.0,0,0.0
7002,699.501,0.0,0,0.0
5450,544.459,0.0,0,0.0
5463,545.759,0.0,0,0.0
7267,725.985,0.0,0,0.0
9241,923.178,0.0,0,0.0
5511,550.557,0.0,0,0.0
5493,548.755,0.0,0,0.0
5490,548.452,0.0,0,0.0
10917,1090.624,0.0,0,0.0
5428,542.257,0.0,0,0.0
5467,546.163,0.0,0,0.0
5412,540.664,0.0,0,0.0
10925,1091.407,0.0,0,0.0
5471,546.563,0.0,0,0.0
5486,548.051,0.0,0,0.0
5494,548.861,0.0,0,0.0
10903,1089.217,0.0,0,0.0
5507,550.150,0.0,0,0.0
5438,543.262,0.0,0,0.0
5466,546.057,0.0,0,0.0
10950,1093.923,0.0,0,0.0
5490,548.452,0.0,0,0.0
5501,549.554,0.0,0,0.0
5454,544.855,0.0,0,0.0
10909,1089.837,0.0,0,0.0
5431,542.562,0.0,0,0.0
5416,541.062,0.0,0,0.0
9760,975.031,0.0,0,0.0
6668,666.140,0.0,0,0.0
5483,547.756,0.0,0,0.0
5459,545.355,0.0,0,0.0
10949,1093.822,0.0,0,0.0
5469,546.354,0.0,0,0.0
5460,545.463,0.0,0,0.0
10146,1013.593,0.0,0,0.0
6273,626.679,0.0,0,0.0
5484,547.856,0.0,0,0.0
5469,546.348,0.0,0,0.0
10890,1087.930,0.0,0,0.0
5498,549.260,0.0,0,0.0
5504,549.854,0.0,0,0.0
5514,550.853,0.0,0,0.0
10938,1092.715,0.0,0,0.0
5478,547.252,0.0,0,0.0
5444,543.861,0.0,0,0.0
10864,1085.320,0.0,0,0.0
1794,224.030,0.0,0,0.0
