#ops,ops/sec,mb/sec,us/op,ms/op
17111,1710.963,213.4,0,0.0
5621,562.061,70.2,0,0.0
6767,676.621,84.5,0,0.0
7372,737.099,92.1,0,0.0
5969,596.827,74.6,0,0.0
6859,685.841,85.7,0,0.0
7868,786.697,98.3,0,0.0
7065,706.439,88.3,0,0.0
6705,670.438,83.8,0,0.0
7450,744.908,93.1,0,0.0
6367,636.603,79.5,0,0.0
5992,598.788,74.8,0,0.0
7721,772.021,96.5,0,0.0
7652,765.094,95.6,0,0.0
7652,765.101,95.6,0,0.0
5109,510.826,63.8,0,0.0
7781,777.978,97.2,0,0.0
7488,748.712,93.6,0,0.0
7272,727.125,90.9,0,0.0
5261,526.042,65.7,0,0.0
7864,786.330,98.3,0,0.0
7946,794.503,99.3,0,0.0
5194,519.360,64.9,0,0.0
6672,667.109,83.4,0,0.0
7792,779.110,97.4,0,0.0
6332,633.101,79.1,0,0.0
7162,716.120,89.5,0,0.0
7357,735.622,91.9,0,0.0
7222,720.261,90.0,0,0.0
5137,512.954,64.1,0,0.0
6934,693.321,86.6,0,0.0
7141,714.043,89.2,0,0.0
6870,686.272,85.7,0,0.0
7284,728.349,91.0,0,0.0
6750,674.954,84.3,0,0.0
7218,721.741,90.2,0,0.0
3786,630.921,78.8,0,0.0
