#ops,ops/sec,mb/sec,us/op,ms/op
2203,220.284,217.1,0,0.0
736,73.595,73.6,0,0.0
959,95.891,95.9,0,0.0
983,98.287,98.3,0,0.0
813,81.289,81.3,0,0.0
931,93.085,93.1,0,0.0
979,97.888,97.9,0,0.0
813,81.291,81.3,0,0.0
986,98.585,98.6,0,0.0
1057,105.689,105.7,0,0.0
882,88.186,88.2,0,0.0
936,93.585,93.6,0,0.0
979,97.887,97.9,0,0.0
747,74.690,74.7,0,0.0
917,91.685,91.7,0,0.0
1054,105.389,105.4,0,0.0
799,79.690,79.7,0,0.0
1006,100.591,100.6,0,0.0
1012,101.186,101.2,0,0.0
991,99.086,99.1,0,0.0
741,74.088,74.1,0,0.0
855,85.490,85.5,0,0.0
1041,104.085,104.1,0,0.0
857,85.690,85.7,0,0.0
922,92.193,92.2,0,0.0
1028,102.792,102.8,0,0.0
882,88.187,88.2,0,0.0
977,97.689,97.7,0,0.0
914,91.387,91.4,0,0.0
746,74.544,74.5,0,0.0
1084,108.386,108.4,0,0.0
878,87.789,87.8,0,0.0
887,88.692,88.7,0,0.0
1007,100.689,100.7,0,0.0
82,81.983,82.0,0,0.0
