#ops,ops/sec,mb/sec,us/op,ms/op
11316,1131.528,26.4,0,0.0
12955,1295.398,29.6,0,0.0
11185,1118.364,26.0,0,0.0
11134,1113.263,26.1,0,0.0
13686,1368.432,32.2,0,0.0
2989,298.847,6.9,0,0.0
0,0.000,0.0,0,0.0
12254,1225.309,28.6,0,0.0
13099,1309.787,30.1,0,0.0
49,4.899,0.1,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
10469,1046.822,23.9,0,0.0
14216,1421.511,33.6,0,0.0
3636,363.571,8.5,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
8537,853.608,19.1,0,0.0
13261,1325.924,31.7,0,0.0
5473,547.212,13.2,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
10402,1040.055,25.1,0,0.0
15909,1590.691,37.2,0,0.0
5983,598.199,14.3,0,0.0
15521,1551.864,36.4,0,0.0
25,2.500,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
3125,312.445,7.3,0,0.0
13717,1371.490,32.2,0,0.0
12744,1274.224,30.3,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
12845,1284.414,29.7,0,0.0
14587,1458.608,33.7,0,0.0
5414,541.348,12.9,0,0.0
14749,1474.731,34.3,0,0.0
1170,116.979,2.6,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
12320,1231.859,29.8,0,0.0
14521,1451.930,34.3,0,0.0
4383,438.231,10.3,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
5387,538.606,12.0,0,0.0
13899,1389.765,33.5,0,0.0
10094,1009.262,23.9,0,0.0
10224,1022.262,23.5,0,0.0
12171,1216.955,28.6,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
12443,1244.229,29.0,0,0.0
13989,1398.752,33.4,0,0.0
