#ops,ops/sec,mb/sec,us/op,ms/op
528,52.795,52.7,0,0.0
553,55.292,55.3,0,0.0
570,56.989,57.0,0,0.0
590,58.989,59.0,0,0.0
610,60.989,61.0,0,0.0
625,62.490,62.5,0,0.0
658,65.788,65.8,0,0.0
663,66.289,66.3,0,0.0
668,66.788,66.8,0,0.0
668,66.787,66.8,0,0.0
668,66.788,66.8,0,0.0
680,67.987,68.0,0,0.0
668,66.789,66.8,0,0.0
674,67.389,67.4,0,0.0
680,67.987,68.0,0,0.0
682,68.188,68.2,0,0.0
682,68.188,68.2,0,0.0
673,67.288,67.3,0,0.0
677,67.688,67.7,0,0.0
685,68.488,68.5,0,0.0
692,69.189,69.2,0,0.0
705,70.488,70.5,0,0.0
692,69.188,69.2,0,0.0
701,70.087,70.1,0,0.0
686,68.588,68.6,0,0.0
699,69.888,69.9,0,0.0
697,69.688,69.7,0,0.0
715,71.487,71.5,0,0.0
722,72.188,72.2,0,0.0
712,71.188,71.2,0,0.0
695,69.488,69.5,0,0.0
698,69.788,69.8,0,0.0
716,71.587,71.6,0,0.0
719,71.888,71.9,0,0.0
694,69.387,69.4,0,0.0
696,69.588,69.6,0,0.0
694,69.388,69.4,0,0.0
699,69.888,69.9,0,0.0
718,71.789,71.8,0,0.0
708,70.788,70.8,0,0.0
704,70.388,70.4,0,0.0
703,70.288,70.3,0,0.0
693,69.288,69.3,0,0.0
713,71.287,71.3,0,0.0
691,69.088,69.1,0,0.0
694,69.388,69.4,0,0.0
706,70.587,70.6,0,0.0
691,69.088,69.1,0,0.0
686,68.588,68.6,0,0.0
702,70.188,70.2,0,0.0
672,67.189,67.2,0,0.0
686,68.588,68.6,0,0.0
688,68.788,68.8,0,0.0
680,67.988,68.0,0,0.0
694,69.388,69.4,0,0.0
660,65.988,66.0,0,0.0
689,68.888,68.9,0,0.0
673,67.288,67.3,0,0.0
691,69.088,69.1,0,0.0
694,69.387,69.4,0,0.0
