#ops,ops/sec,mb/sec,us/op,ms/op
3248,324.767,10.0,0,0.0
3948,394.744,12.3,0,0.0
4611,461.035,14.4,0,0.0
4976,497.530,15.5,0,0.0
5322,532.125,16.6,0,0.0
5466,546.521,17.0,0,0.0
5570,556.919,17.4,0,0.0
5646,564.520,17.6,0,0.0
5614,561.320,17.5,0,0.0
5598,559.718,17.4,0,0.0
5666,566.522,17.7,0,0.0
5675,567.419,17.7,0,0.0
5698,569.718,17.8,0,0.0
5588,558.723,17.4,0,0.0
5733,573.218,17.9,0,0.0
5612,561.119,17.5,0,0.0
5635,563.420,17.6,0,0.0
5779,577.818,18.0,0,0.0
5736,573.517,17.9,0,0.0
5779,577.818,18.0,0,0.0
5620,561.921,17.5,0,0.0
5695,569.420,17.7,0,0.0
5770,576.917,18.0,0,0.0
5796,579.517,18.1,0,0.0
5728,572.719,17.9,0,0.0
5686,568.518,17.7,0,0.0
5571,557.021,17.4,0,0.0
5716,571.521,17.8,0,0.0
5717,571.620,17.8,0,0.0
5643,564.224,17.6,0,0.0
5680,567.920,17.7,0,0.0
5687,568.619,17.7,0,0.0
5722,572.121,17.8,0,0.0
5623,562.222,17.5,0,0.0
5666,566.518,17.7,0,0.0
5680,567.920,17.7,0,0.0
5682,568.119,17.7,0,0.0
5693,569.221,17.7,0,0.0
5722,572.117,17.8,0,0.0
5670,566.921,17.7,0,0.0
5660,565.922,17.6,0,0.0
5655,565.420,17.6,0,0.0
5624,562.320,17.5,0,0.0
5697,569.620,17.8,0,0.0
5712,571.118,17.8,0,0.0
5707,570.619,17.8,0,0.0
5702,570.119,17.8,0,0.0
5669,566.820,17.7,0,0.0
5671,567.019,17.7,0,0.0
5679,567.818,17.7,0,0.0
5690,568.916,17.7,0,0.0
5647,564.617,17.6,0,0.0
5766,576.536,18.0,0,0.0
5669,566.826,17.7,0,0.0
5765,576.426,18.0,0,0.0
5693,569.221,17.7,0,0.0
5787,578.609,18.0,0,0.0
5698,569.709,17.8,0,0.0
5631,563.017,17.5,0,0.0
5673,567.217,17.7,0,0.0
