#ops,ops/sec,mb/sec,us/op,ms/op
3470,346.979,1.3,0,0.0
4394,439.372,1.7,0,0.0
5173,517.268,2.0,0,0.0
5722,572.163,2.2,0,0.0
6078,607.761,2.3,0,0.0
6329,632.856,2.4,0,0.0
6398,639.758,2.4,0,0.0
6495,649.459,2.5,0,0.0
6460,645.959,2.5,0,0.0
6448,644.745,2.5,0,0.0
6555,655.410,2.5,0,0.0
6523,652.211,2.5,0,0.0
6534,653.308,2.5,0,0.0
6548,654.710,2.5,0,0.0
6475,647.410,2.5,0,0.0
6552,655.111,2.5,0,0.0
6596,659.512,2.5,0,0.0
6661,666.008,2.6,0,0.0
6533,653.210,2.5,0,0.0
6594,659.310,2.5,0,0.0
6549,654.810,2.5,0,0.0
6618,661.709,2.5,0,0.0
6586,658.508,2.5,0,0.0
6537,653.609,2.5,0,0.0
6655,665.409,2.5,0,0.0
6570,656.909,2.5,0,0.0
6519,651.809,2.5,0,0.0
6588,658.712,2.5,0,0.0
6599,659.808,2.5,0,0.0
6584,658.308,2.5,0,0.0
6591,659.008,2.5,0,0.0
6540,653.909,2.5,0,0.0
6533,653.211,2.5,0,0.0
6611,661.009,2.5,0,0.0
6642,664.104,2.5,0,0.0
6607,660.609,2.5,0,0.0
6575,657.412,2.5,0,0.0
6640,663.909,2.5,0,0.0
6519,651.808,2.5,0,0.0
6668,666.707,2.6,0,0.0
6690,668.907,2.6,0,0.0
6616,661.508,2.5,0,0.0
6638,663.709,2.5,0,0.0
6658,665.709,2.6,0,0.0
6609,660.794,2.5,0,0.0
6615,661.379,2.5,0,0.0
6549,654.792,2.5,0,0.0
6672,667.100,2.6,0,0.0
6555,655.403,2.5,0,0.0
6580,657.909,2.5,0,0.0
6592,659.109,2.5,0,0.0
6653,665.208,2.5,0,0.0
6512,651.111,2.5,0,0.0
6606,660.509,2.5,0,0.0
6628,662.708,2.5,0,0.0
6530,652.909,2.5,0,0.0
6539,653.812,2.5,0,0.0
6443,644.211,2.5,0,0.0
6618,661.708,2.5,0,0.0
6475,647.409,2.5,0,0.0
