#ops,ops/sec,mb/sec,us/op,ms/op
2274,227.375,7.1,0,0.0
1976,197.582,6.1,0,0.0
2845,284.470,8.8,0,0.0
4469,446.849,13.9,0,0.0
8461,846.014,26.4,0,0.0
17732,1773.033,55.4,0,0.0
15074,1507.268,47.1,0,0.0
1896,189.582,5.9,0,0.0
851,85.092,2.6,0,0.0
772,77.194,2.4,0,0.0
1573,157.276,4.9,0,0.0
2072,207.163,6.4,0,0.0
2504,250.355,7.8,0,0.0
2573,257.252,8.0,0,0.0
2744,274.349,8.5,0,0.0
2944,294.346,9.2,0,0.0
2837,283.647,8.8,0,0.0
3067,306.645,9.5,0,0.0
3189,318.843,9.9,0,0.0
3543,354.236,11.0,0,0.0
3959,395.831,12.3,0,0.0
4504,450.317,14.0,0,0.0
4719,471.818,14.7,0,0.0
3800,379.931,11.8,0,0.0
3516,351.533,10.9,0,0.0
3502,350.138,10.9,0,0.0
3981,398.027,12.4,0,0.0
3505,350.438,10.9,0,0.0
3103,310.245,9.6,0,0.0
3052,305.146,9.5,0,0.0
3496,349.537,10.9,0,0.0
3669,366.834,11.4,0,0.0
3334,333.341,10.4,0,0.0
2914,291.347,9.1,0,0.0
2949,294.846,9.2,0,0.0
3115,311.446,9.7,0,0.0
3156,315.543,9.8,0,0.0
3126,312.542,9.7,0,0.0
3247,324.642,10.1,0,0.0
3418,341.739,10.6,0,0.0
3365,336.439,10.5,0,0.0
3832,383.131,11.9,0,0.0
4087,408.623,12.7,0,0.0
4426,442.519,13.8,0,0.0
4038,403.728,12.6,0,0.0
2896,289.549,9.0,0,0.0
3138,313.742,9.8,0,0.0
3261,326.041,10.1,0,0.0
3186,318.544,9.9,0,0.0
3269,326.839,10.2,0,0.0
3324,332.343,10.3,0,0.0
3723,372.233,11.6,0,0.0
3614,361.331,11.2,0,0.0
3764,376.333,11.7,0,0.0
4057,405.632,12.6,0,0.0
4582,458.116,14.3,0,0.0
2781,278.050,8.6,0,0.0
2847,284.650,8.8,0,0.0
2847,284.650,8.8,0,0.0
3171,317.041,9.9,0,0.0
