#ops,ops/sec,mb/sec,us/op,ms/op
518109,51803.896,67.4,0,0.0
342434,34238.189,44.5,0,0.0
364524,36447.170,47.4,0,0.0
343412,34335.802,44.7,0,0.0
317061,31701.161,41.2,0,0.0
354161,35410.622,46.1,0,0.0
316868,31682.054,41.2,0,0.0
297685,29764.050,38.7,0,0.0
237997,23796.040,30.9,0,0.0
265152,26510.895,34.5,0,0.0
219516,21947.891,28.5,0,0.0
217785,21775.092,28.3,0,0.0
193198,19316.468,25.1,0,0.0
177637,17760.508,23.1,0,0.0
175718,17568.996,22.8,0,0.0
160800,16077.397,20.9,0,0.0
165892,16586.322,21.6,0,0.0
167610,16758.042,21.8,0,0.0
151437,15141.344,19.7,0,0.0
123680,12365.700,16.1,0,0.0
154820,15479.177,20.1,0,0.0
163784,16375.767,21.3,0,0.0
131031,13100.858,17.0,0,0.0
158537,15851.246,20.6,0,0.0
81924,8190.996,10.6,0,0.0
118106,11808.471,15.3,0,0.0
145809,14578.505,18.9,0,0.0
91230,9121.376,11.8,0,0.0
139911,13988.609,18.2,0,0.0
138909,13888.457,18.0,0,0.0
72987,7297.428,9.5,0,0.0
161770,16174.199,21.0,0,0.0
84914,8489.909,11.0,0,0.0
101267,10124.963,13.1,0,0.0
80375,8036.067,10.4,0,0.0
101449,10143.172,13.2,0,0.0
80103,8008.843,10.4,0,0.0
79173,7915.787,10.3,0,0.0
93306,9328.977,12.1,0,0.0
132132,13210.833,17.2,0,0.0
65745,6573.337,8.5,0,0.0
94337,9432.020,12.2,0,0.0
95362,9534.511,12.4,0,0.0
61921,6190.974,8.0,0,0.0
102905,10288.878,13.3,0,0.0
70975,7096.244,9.2,0,0.0
14644,1464.166,1.9,0,0.0
113702,11368.366,14.8,0,0.0
74580,7456.708,9.7,0,0.0
92808,9279.227,12.0,0,0.0
69297,6928.433,9.0,0,0.0
83208,8319.232,10.8,0,0.0
59763,5975.215,7.7,0,0.0
73403,7338.989,9.5,0,0.0
75924,7591.034,9.8,0,0.0
86337,8632.148,11.2,0,0.0
42231,4222.364,5.4,0,0.0
88139,8812.381,11.4,0,0.0
60654,6064.313,7.8,0,0.0
65655,6564.313,8.5,0,0.0
90378,9036.236,11.7,0,0.0
51663,5165.358,6.7,0,0.0
90261,9024.583,11.7,0,0.0
64962,6494.963,8.4,0,0.0
18777,1877.351,2.4,0,0.0
119568,11954.768,15.5,0,0.0
72954,7294.125,9.4,0,0.0
58194,5818.338,7.5,0,0.0
59568,5955.707,7.7,0,0.0
59094,5908.414,7.6,0,0.0
59148,5913.778,7.7,0,0.0
67602,6758.983,8.8,0,0.0
58941,5893.077,7.6,0,0.0
73365,7335.280,9.5,0,0.0
58611,5860.061,7.6,0,0.0
58866,5885.568,7.6,0,0.0
58194,5818.388,7.5,0,0.0
95412,9539.518,12.4,0,0.0
70175,7016.323,9.1,0,0.0
47102,4709.322,6.1,0,0.0
57798,5778.844,7.5,0,0.0
29049,2904.374,3.7,0,0.0
69672,6965.994,9.0,0,0.0
40401,4039.379,5.2,0,0.0
67573,6756.153,8.7,0,0.0
46781,4677.288,6.0,0,0.0
83904,8388.896,10.9,0,0.0
44240,4423.239,5.7,0,0.0
38151,3814.411,4.9,0,0.0
83220,8320.631,10.8,0,0.0
42855,4284.758,5.5,0,0.0
50672,5066.322,6.5,0,0.0
56610,5660.008,7.3,0,0.0
49758,4974.946,6.4,0,0.0
80637,8062.274,10.4,0,0.0
66039,6602.787,8.5,0,0.0
57387,5737.634,7.4,0,0.0
50403,5039.415,6.5,0,0.0
40397,4038.971,5.2,0,0.0
55776,5576.590,7.2,0,0.0
69096,6908.432,8.9,0,0.0
33984,3397.836,4.4,0,0.0
89006,8899.145,11.5,0,0.0
53297,5328.824,6.9,0,0.0
30244,3023.857,3.9,0,0.0
14352,1434.948,1.8,0,0.0
82326,8231.288,10.7,0,0.0
45075,4506.702,5.8,0,0.0
31759,3175.320,4.1,0,0.0
70622,7061.125,9.1,0,0.0
39380,3937.324,5.1,0,0.0
55374,5536.373,7.2,0,0.0
27504,6874.668,8.7,0,0.0
