#ops,ops/sec,mb/sec,us/op,ms/op
1476,147.586,0.0,0,0.0
1739,173.883,0.0,0,0.0
1757,175.669,0.0,0,0.0
750,74.987,0.0,0,0.0
1858,185.767,0.0,0,0.0
2438,243.757,0.0,0,0.0
1326,132.577,0.0,0,0.0
1534,153.372,0.0,0,0.0
1196,119.578,0.0,0,0.0
3049,304.845,0.0,0,0.0
2723,272.252,0.0,0,0.0
785,78.486,0.0,0,0.0
2089,208.863,0.0,0,0.0
3782,378.135,0.0,0,0.0
3035,303.448,0.0,0,0.0
1538,153.772,0.0,0,0.0
1869,186.867,0.0,0,0.0
1961,196.064,0.0,0,0.0
4752,475.114,0.0,0,0.0
4296,429.524,0.0,0,0.0
1899,189.865,0.0,0,0.0
863,86.283,0.0,0,0.0
2292,229.160,0.0,0,0.0
6441,643.988,0.0,0,0.0
5924,592.288,0.0,0,0.0
1399,139.873,0.0,0,0.0
2577,257.652,0.0,0,0.0
1802,180.168,0.0,0,0.0
1932,193.167,0.0,0,0.0
5684,568.300,0.0,0,0.0
2657,265.653,0.0,0,0.0
3893,389.232,0.0,0,0.0
7956,795.453,0.0,0,0.0
2078,207.762,0.0,0,0.0
3000,299.946,0.0,0,0.0
6801,679.971,0.0,0,0.0
6736,673.477,0.0,0,0.0
2786,278.546,0.0,0,0.0
3056,305.544,0.0,0,0.0
,,,0.0,
2814,281.349,0.0,0,0.0
172,17.197,0.0,0,0.0
7352,735.069,0.0,0,0.0
10457,1045.513,0.0,0,0.0
0,0.000,0.0,0,0.0
5199,519.802,0.0,0,0.0
3490,348.937,0.0,0,0.0
11972,1196.987,0.0,0,0.0
5202,520.104,0.0,0,0.0
5224,522.304,0.0,0,0.0
5152,515.103,0.0,0,0.0
0,0.000,0.0,0,0.0
1700,169.969,0.0,0,0.0
13902,1389.958,0.0,0,0.0
5204,520.302,0.0,0,0.0
5205,520.406,0.0,0,0.0
4239,423.822,0.0,0,0.0
106,10.598,0.0,0,0.0
15522,1551.921,0.0,0,0.0
5230,522.902,0.0,0,0.0
5194,519.307,0.0,0,0.0
5231,523.002,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
15568,1556.501,0.0,0,0.0
5177,517.600,0.0,0,0.0
5213,521.201,0.0,0,0.0
5197,519.605,0.0,0,0.0
0,0.000,0.0,0,0.0
3679,367.833,0.0,0,0.0
11885,1188.265,0.0,0,0.0
5190,518.903,0.0,0,0.0
5167,516.602,0.0,0,0.0
5229,522.797,0.0,0,0.0
5171,517.002,0.0,0,0.0
0,0.000,0.0,0,0.0
7390,738.861,0.0,0,0.0
8370,836.847,0.0,0,0.0
5184,518.308,0.0,0,0.0
15596,1559.298,0.0,0,0.0
5275,527.402,0.0,0,0.0
0,0.000,0.0,0,0.0
5235,523.403,0.0,0,0.0
5219,521.798,0.0,0,0.0
0,0.000,0.0,0,0.0
5146,514.509,0.0,0,0.0
15698,1569.508,0.0,0,0.0
5210,520.903,0.0,0,0.0
5159,515.804,0.0,0,0.0
5170,516.906,0.0,0,0.0
0,0.000,0.0,0,0.0
2410,240.956,0.0,0,0.0
13342,1333.957,0.0,0,0.0
5153,515.207,0.0,0,0.0
1155,115.479,0.0,0,0.0
9188,918.624,0.0,0,0.0
10363,1036.104,0.0,0,0.0
5171,517.005,0.0,0,0.0
0,0.000,0.0,0,0.0
15546,1554.309,0.0,0,0.0
5187,518.608,0.0,0,0.0
5226,522.499,0.0,0,0.0
5282,528.099,0.0,0,0.0
0,0.000,0.0,0,0.0
5192,519.103,0.0,0,0.0
4477,447.616,0.0,0,0.0
11113,1111.095,0.0,0,0.0
5180,517.910,0.0,0,0.0
5203,520.204,0.0,0,0.0
5195,519.402,0.0,0,0.0
0,0.000,0.0,0,0.0
5154,515.309,0.0,0,0.0
18787,1878.355,0.0,0,0.0
0,0.000,0.0,0,0.0
5196,519.502,0.0,0,0.0
5252,525.102,0.0,0,0.0
0,0.000,0.0,0,0.0
5158,515.702,0.0,0,0.0
5452,545.107,0.0,0,0.0
10132,1013.015,0.0,0,0.0
5217,521.603,0.0,0,0.0
5207,520.606,0.0,0,0.0
5202,520.104,0.0,0,0.0
0,0.000,0.0,0,0.0
15681,1567.813,0.0,0,0.0
5205,520.405,0.0,0,0.0
5185,518.409,0.0,0,0.0
5181,518.003,0.0,0,0.0
0,0.000,0.0,0,0.0
5189,518.803,0.0,0,0.0
5161,516.012,0.0,0,0.0
10378,1037.613,0.0,0,0.0
5207,520.607,0.0,0,0.0
5235,523.409,0.0,0,0.0
5181,518.008,0.0,0,0.0
0,0.000,0.0,0,0.0
5562,556.101,0.0,0,0.0
15169,1516.635,0.0,0,0.0
5188,518.704,0.0,0,0.0
5189,518.803,0.0,0,0.0
5190,518.906,0.0,0,0.0
0,0.000,0.0,0,0.0
5129,512.808,0.0,0,0.0
5535,553.397,0.0,0,0.0
10380,1037.812,0.0,0,0.0
5181,518.006,0.0,0,0.0
144,14.397,0.0,0,0.0
15539,1553.601,0.0,0,0.0
5222,522.100,0.0,0,0.0
5183,518.205,0.0,0,0.0
0,0.000,0.0,0,0.0
5638,563.696,0.0,0,0.0
14669,1466.637,0.0,0,0.0
5202,520.104,0.0,0,0.0
0,0.000,0.0,0,0.0
3072,307.143,0.0,0,0.0
12511,1250.863,0.0,0,0.0
5173,517.205,0.0,0,0.0
5173,517.206,0.0,0,0.0
5183,518.201,0.0,0,0.0
0,0.000,0.0,0,0.0
1449,241.456,0.0,0,0.0
