#ops,ops/sec,mb/sec,us/op,ms/op
2833,283.275,280.1,0,0.0
1462,146.187,146.2,0,0.0
1470,146.989,147.0,0,0.0
1491,149.084,149.1,0,0.0
1422,142.177,142.2,0,0.0
1471,147.083,147.1,0,0.0
1496,149.585,149.6,0,0.0
1489,148.886,148.9,0,0.0
1462,146.183,146.2,0,0.0
1497,149.680,149.7,0,0.0
1493,149.286,149.3,0,0.0
1491,149.078,149.1,0,0.0
1474,147.379,147.4,0,0.0
1467,146.684,146.7,0,0.0
1447,144.682,144.7,0,0.0
1448,144.787,144.8,0,0.0
1460,145.988,146.0,0,0.0
1420,141.989,142.0,0,0.0
1436,143.584,143.6,0,0.0
1398,139.777,139.8,0,0.0
1442,144.178,144.2,0,0.0
432,143.978,144.0,0,0.0
