#ops,ops/sec,mb/sec,us/op,ms/op
19299,1929.725,45.0,0,0.0
20580,2057.736,48.5,0,0.0
19140,1913.756,44.9,0,0.0
20150,2014.779,47.7,0,0.0
18130,1812.789,41.4,0,0.0
13409,1340.719,33.0,0,0.0
15668,1566.594,36.5,0,0.0
13418,1341.651,31.6,0,0.0
3748,374.776,8.9,0,0.0
6409,640.840,15.7,0,0.0
9364,936.332,21.8,0,0.0
9583,958.232,22.0,0,0.0
10565,1056.411,25.5,0,0.0
10233,1023.228,24.5,0,0.0
,,,24.3,
10315,1031.423,23.5,0,0.0
8444,844.337,19.8,0,0.0
9141,914.035,21.9,0,0.0
9947,994.583,22.9,0,0.0
11382,1138.101,26.7,0,0.0
10475,1047.409,25.4,0,0.0
10845,1084.397,24.8,0,0.0
10296,1029.486,23.9,0,0.0
11579,1157.824,26.6,0,0.0
9294,929.339,22.1,0,0.0
10706,1070.518,24.8,0,0.0
8663,866.227,20.7,0,0.0
11119,1111.821,26.0,0,0.0
9788,978.718,22.0,0,0.0
10763,1076.214,24.5,0,0.0
9385,938.422,21.6,0,0.0
8718,871.728,20.6,0,0.0
9896,989.523,22.9,0,0.0
10714,1071.315,24.5,0,0.0
8589,858.822,19.4,0,0.0
10162,1016.099,24.2,0,0.0
9971,996.981,23.7,0,0.0
8797,879.574,20.5,0,0.0
10232,1023.081,23.8,0,0.0
10123,1012.196,23.9,0,0.0
9378,937.705,21.9,0,0.0
9762,976.119,22.8,0,0.0
9998,999.706,23.4,0,0.0
9528,952.722,22.2,0,0.0
9840,983.895,23.0,0,0.0
10251,1025.030,24.0,0,0.0
8262,826.130,20.4,0,0.0
8733,873.223,20.7,0,0.0
9247,924.604,21.4,0,0.0
9436,943.535,21.9,0,0.0
8124,812.320,19.0,0,0.0
9741,973.996,22.4,0,0.0
9668,966.720,23.6,0,0.0
9671,967.018,22.2,0,0.0
8586,858.544,20.5,0,0.0
9234,923.340,21.6,0,0.0
8577,857.623,20.1,0,0.0
8702,870.138,21.5,0,0.0
9169,916.839,21.4,0,0.0
9874,987.270,23.1,0,0.0
