#ops,ops/sec,mb/sec,us/op,ms/op
654,65.392,65.3,0,0.0
670,66.988,67.0,0,0.0
695,69.488,69.5,0,0.0
649,64.889,64.9,0,0.0
739,73.887,73.9,0,0.0
751,75.087,75.1,0,0.0
752,75.187,75.2,0,0.0
745,74.487,74.5,0,0.0
755,75.487,75.5,0,0.0
768,76.786,76.8,0,0.0
756,75.587,75.6,0,0.0
724,72.387,72.4,0,0.0
741,74.087,74.1,0,0.0
743,74.287,74.3,0,0.0
722,72.187,72.2,0,0.0
753,75.287,75.3,0,0.0
738,73.787,73.8,0,0.0
751,75.088,75.1,0,0.0
754,75.387,75.4,0,0.0
742,74.186,74.2,0,0.0
732,73.187,73.2,0,0.0
734,73.388,73.4,0,0.0
733,73.287,73.3,0,0.0
761,76.086,76.1,0,0.0
733,73.287,73.3,0,0.0
741,74.088,74.1,0,0.0
741,74.087,74.1,0,0.0
734,73.387,73.4,0,0.0
741,74.087,74.1,0,0.0
750,74.987,75.0,0,0.0
752,75.186,75.2,0,0.0
735,73.486,73.5,0,0.0
741,74.086,74.1,0,0.0
745,74.486,74.5,0,0.0
748,74.786,74.8,0,0.0
741,74.087,74.1,0,0.0
730,72.988,73.0,0,0.0
746,74.587,74.6,0,0.0
748,74.787,74.8,0,0.0
751,75.086,75.1,0,0.0
741,74.087,74.1,0,0.0
735,73.487,73.5,0,0.0
726,72.587,72.6,0,0.0
739,73.887,73.9,0,0.0
738,73.787,73.8,0,0.0
739,73.887,73.9,0,0.0
740,73.987,74.0,0,0.0
745,74.486,74.5,0,0.0
743,74.286,74.3,0,0.0
736,73.587,73.6,0,0.0
738,73.785,73.8,0,0.0
746,74.586,74.6,0,0.0
742,74.186,74.2,0,0.0
740,73.986,74.0,0,0.0
717,71.686,71.7,0,0.0
723,72.287,72.3,0,0.0
744,74.385,74.4,0,0.0
739,73.886,73.9,0,0.0
729,72.887,72.9,0,0.0
749,74.887,74.9,0,0.0
