#ops,ops/sec,mb/sec,us/op,ms/op
6205,620.462,2.4,0,0.0
6432,643.161,2.5,0,0.0
6446,644.561,2.5,0,0.0
6383,638.261,2.4,0,0.0
6418,641.761,2.5,0,0.0
6572,657.121,2.5,0,0.0
6440,643.911,2.5,0,0.0
6435,643.410,2.5,0,0.0
6482,648.111,2.5,0,0.0
6431,643.012,2.5,0,0.0
6484,648.311,2.5,0,0.0
6502,650.111,2.5,0,0.0
6361,636.010,2.4,0,0.0
6455,645.411,2.5,0,0.0
6512,651.113,2.5,0,0.0
6508,650.711,2.5,0,0.0
6412,641.113,2.5,0,0.0
6471,647.011,2.5,0,0.0
6457,645.612,2.5,0,0.0
6559,655.804,2.5,0,0.0
6536,653.511,2.5,0,0.0
6520,651.909,2.5,0,0.0
6551,655.009,2.5,0,0.0
6500,649.909,2.5,0,0.0
6453,645.211,2.5,0,0.0
6594,659.310,2.5,0,0.0
6527,652.609,2.5,0,0.0
6499,649.811,2.5,0,0.0
6519,651.810,2.5,0,0.0
6531,653.013,2.5,0,0.0
6558,655.709,2.5,0,0.0
6527,652.609,2.5,0,0.0
6560,655.908,2.5,0,0.0
6537,653.609,2.5,0,0.0
6532,653.110,2.5,0,0.0
6543,654.208,2.5,0,0.0
6552,655.109,2.5,0,0.0
6575,657.410,2.5,0,0.0
6491,649.009,2.5,0,0.0
6551,655.009,2.5,0,0.0
6556,655.510,2.5,0,0.0
6532,653.112,2.5,0,0.0
6524,652.311,2.5,0,0.0
6568,656.712,2.5,0,0.0
6445,644.413,2.5,0,0.0
6557,655.610,2.5,0,0.0
6609,660.816,2.5,0,0.0
6548,654.709,2.5,0,0.0
6454,645.310,2.5,0,0.0
6552,655.110,2.5,0,0.0
6571,657.011,2.5,0,0.0
6614,661.308,2.5,0,0.0
6434,643.312,2.5,0,0.0
6504,650.310,2.5,0,0.0
6680,667.907,2.6,0,0.0
6525,652.408,2.5,0,0.0
6560,655.909,2.5,0,0.0
6525,652.409,2.5,0,0.0
6640,663.908,2.5,0,0.0
6567,656.608,2.5,0,0.0
