#ops,ops/sec,mb/sec,us/op,ms/op
2340,233.978,233.9,0,0.0
985,98.490,98.5,0,0.0
995,99.483,99.5,0,0.0
1011,101.082,101.1,0,0.0
1010,100.982,101.0,0,0.0
1011,101.082,101.1,0,0.0
1016,101.582,101.6,0,0.0
1005,100.482,100.5,0,0.0
1019,101.882,101.9,0,0.0
1022,102.182,102.2,0,0.0
1031,103.083,103.1,0,0.0
1016,101.587,101.6,0,0.0
1031,103.088,103.1,0,0.0
1037,103.689,103.7,0,0.0
1035,103.490,103.5,0,0.0
1025,102.491,102.5,0,0.0
1014,101.390,101.4,0,0.0
1023,102.287,102.3,0,0.0
1015,101.481,101.5,0,0.0
1020,101.983,102.0,0,0.0
1018,101.781,101.8,0,0.0
1026,102.582,102.6,0,0.0
1021,102.082,102.1,0,0.0
1008,100.780,100.8,0,0.0
1041,104.082,104.1,0,0.0
1032,103.181,103.2,0,0.0
1012,101.182,101.2,0,0.0
1033,103.281,103.3,0,0.0
1014,101.381,101.4,0,0.0
1028,102.782,102.8,0,0.0
1010,100.982,101.0,0,0.0
1026,102.582,102.6,0,0.0
1021,102.082,102.1,0,0.0
1012,101.182,101.2,0,0.0
1029,102.883,102.9,0,0.0
1007,100.687,100.7,0,0.0
1035,103.490,103.5,0,0.0
1015,101.491,101.5,0,0.0
1008,100.782,100.8,0,0.0
1021,102.081,102.1,0,0.0
1000,99.983,100.0,0,0.0
1053,105.286,105.3,0,0.0
1021,102.090,102.1,0,0.0
1013,101.290,101.3,0,0.0
1026,102.587,102.6,0,0.0
1008,100.783,100.8,0,0.0
1011,101.081,101.1,0,0.0
1019,101.882,101.9,0,0.0
1019,101.882,101.9,0,0.0
1029,102.881,102.9,0,0.0
1019,101.881,101.9,0,0.0
1022,102.182,102.2,0,0.0
1014,101.383,101.4,0,0.0
1028,102.785,102.8,0,0.0
1014,101.391,101.4,0,0.0
1033,103.289,103.3,0,0.0
1020,101.990,102.0,0,0.0
1019,101.890,101.9,0,0.0
1041,104.090,104.1,0,0.0
1022,102.189,102.2,0,0.0
