#ops,ops/sec,mb/sec,us/op,ms/op
1656,165.587,0.0,0,0.0
12525,1252.373,0.0,0,0.0
5215,521.406,0.0,0,0.0
0,0.000,0.0,0,0.0
5180,517.904,0.0,0,0.0
15639,1563.637,0.0,0,0.0
5189,518.805,0.0,0,0.0
8447,844.555,0.0,0,0.0
7134,713.277,0.0,0,0.0
0,0.000,0.0,0,0.0
5207,520.601,0.0,0,0.0
10411,1040.917,0.0,0,0.0
10385,1038.305,0.0,0,0.0
5204,520.304,0.0,0,0.0
15627,1562.419,0.0,0,0.0
5223,522.203,0.0,0,0.0
0,0.000,0.0,0,0.0
15627,1562.406,0.0,0,0.0
5164,516.307,0.0,0,0.0
10474,1047.213,0.0,0,0.0
5203,520.203,0.0,0,0.0
0,0.000,0.0,0,0.0
5493,549.204,0.0,0,0.0
12932,1292.964,0.0,0,0.0
5165,516.453,0.0,0,0.0
5179,517.853,0.0,0,0.0
5371,537.043,0.0,0,0.0
15362,1535.931,0.0,0,0.0
5200,519.905,0.0,0,0.0
5173,517.204,0.0,0,0.0
5205,520.426,0.0,0,0.0
0,0.000,0.0,0,0.0
15572,1556.904,0.0,0,0.0
5218,521.694,0.0,0,0.0
10376,1037.400,0.0,0,0.0
5153,515.206,0.0,0,0.0
0,0.000,0.0,0,0.0
5190,518.899,0.0,0,0.0
15687,1568.404,0.0,0,0.0
5159,515.794,0.0,0,0.0
10,1.000,0.0,0,0.0
8431,842.938,0.0,0,0.0
12385,1238.269,0.0,0,0.0
10413,1041.103,0.0,0,0.0
5189,518.804,0.0,0,0.0
5193,519.203,0.0,0,0.0
0,0.000,0.0,0,0.0
15610,1560.728,0.0,0,0.0
5184,518.307,0.0,0,0.0
5212,521.100,0.0,0,0.0
10388,1038.600,0.0,0,0.0
0,0.000,0.0,0,0.0
5188,518.705,0.0,0,0.0
6706,670.475,0.0,0,0.0
8879,887.736,0.0,0,0.0
3017,301.643,0.0,0,0.0
6506,650.485,0.0,0,0.0
13232,1322.954,0.0,0,0.0
2188,218.759,0.0,0,0.0
3035,303.444,0.0,0,0.0
15640,1563.739,0.0,0,0.0
5205,520.409,0.0,0,0.0
0,0.000,0.0,0,0.0
10878,1087.597,0.0,0,0.0
9895,989.320,0.0,0,0.0
5162,516.108,0.0,0,0.0
4492,449.121,0.0,0,0.0
12008,1200.593,0.0,0,0.0
10358,1035.621,0.0,0,0.0
0,0.000,0.0,0,0.0
5958,595.692,0.0,0,0.0
14808,1480.526,0.0,0,0.0
10397,1039.509,0.0,0,0.0
5209,520.804,0.0,0,0.0
5191,519.008,0.0,0,0.0
0,0.000,0.0,0,0.0
15643,1564.015,0.0,0,0.0
5204,520.303,0.0,0,0.0
5189,518.803,0.0,0,0.0
10431,1042.904,0.0,0,0.0
0,0.000,0.0,0,0.0
5182,518.105,0.0,0,0.0
5774,577.298,0.0,0,0.0
9832,983.008,0.0,0,0.0
5267,526.599,0.0,0,0.0
11205,1120.282,0.0,0,0.0
9669,966.719,0.0,0,0.0
0,0.000,0.0,0,0.0
5171,517.003,0.0,0,0.0
15608,1560.521,0.0,0,0.0
0,0.000,0.0,0,0.0
5170,516.947,0.0,0,0.0
10488,1048.697,0.0,0,0.0
12400,1239.879,0.0,0,0.0
5186,518.555,0.0,0,0.0
0,0.000,0.0,0,0.0
15579,1557.688,0.0,0,0.0
5206,520.509,0.0,0,0.0
5225,522.402,0.0,0,0.0
10385,1038.310,0.0,0,0.0
0,0.000,0.0,0,0.0
5185,518.404,0.0,0,0.0
18221,1821.775,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
7747,774.558,0.0,0,0.0
15457,1545.437,0.0,0,0.0
0,0.000,0.0,0,0.0
5225,522.406,0.0,0,0.0
15613,1561.002,0.0,0,0.0
5196,519.494,0.0,0,0.0
5172,517.095,0.0,0,0.0
11876,1187.389,0.0,0,0.0
5166,516.510,0.0,0,0.0
5194,519.307,0.0,0,0.0
7221,902.462,0.0,0,0.0
