#ops,ops/sec,mb/sec,us/op,ms/op
14748,1474.699,45.9,0,0.0
15836,1583.479,49.4,0,0.0
15828,1582.680,49.4,0,0.0
16212,1621.045,50.6,0,0.0
15972,1597.079,49.9,0,0.0
15940,1593.879,49.8,0,0.0
16076,1607.464,50.2,0,0.0
15808,1580.588,49.4,0,0.0
16356,1635.375,51.1,0,0.0
15724,1572.188,49.1,0,0.0
16192,1618.995,50.6,0,0.0
16268,1626.598,50.8,0,0.0
16108,1610.586,50.3,0,0.0
16204,1620.160,50.6,0,0.0
15772,1576.945,49.2,0,0.0
16144,1614.131,50.4,0,0.0
15948,1594.571,49.8,0,0.0
16204,1620.174,50.6,0,0.0
15796,1579.373,49.3,0,0.0
15948,1594.558,49.8,0,0.0
15428,1542.586,48.2,0,0.0
16052,1604.968,50.1,0,0.0
15364,1536.161,48.0,0,0.0
16028,1602.568,50.0,0,0.0
15856,1585.370,49.5,0,0.0
16016,1601.374,50.0,0,0.0
15608,1560.575,48.7,0,0.0
15444,1544.274,48.2,0,0.0
15580,1557.884,48.6,0,0.0
15824,1582.299,49.4,0,0.0
15936,1593.484,49.8,0,0.0
16164,1616.267,50.5,0,0.0
15784,1578.269,49.3,0,0.0
16023,1602.155,50.0,0,0.0
15792,1579.070,49.3,0,0.0
15796,1579.479,49.3,0,0.0
16044,1604.264,50.1,0,0.0
16300,1629.869,50.9,0,0.0
16044,1604.255,50.1,0,0.0
16108,1610.641,50.3,0,0.0
15976,1597.464,49.9,0,0.0
16312,1631.044,50.9,0,0.0
16152,1615.032,50.4,0,0.0
16104,1610.221,50.3,0,0.0
16004,1600.187,50.0,0,0.0
16420,1641.765,51.3,0,0.0
15836,1583.457,49.4,0,0.0
16228,1622.623,50.7,0,0.0
16236,1623.366,50.7,0,0.0
16080,1607.756,50.2,0,0.0
15844,1584.164,49.5,0,0.0
15956,1595.370,49.8,0,0.0
15564,1556.152,48.6,0,0.0
16100,1609.782,50.3,0,0.0
15592,1558.988,48.7,0,0.0
15904,1590.165,49.7,0,0.0
15576,1557.383,48.6,0,0.0
15448,1544.562,48.2,0,0.0
15644,1564.185,48.8,0,0.0
16048,1604.590,50.1,0,0.0
15736,1573.358,49.1,0,0.0
15916,1591.377,49.7,0,0.0
15542,1553.970,48.5,0,0.0
