#ops,ops/sec,mb/sec,us/op,ms/op
114592,11458.373,44.7,0,0.0
121984,12197.041,47.6,0,0.0
118944,11892.913,46.4,0,0.0
120960,12094.281,47.2,0,0.0
120704,12068.685,47.1,0,0.0
120800,12078.718,47.1,0,0.0
118830,11881.870,46.4,0,0.0
119488,11947.741,46.6,0,0.0
122050,12203.898,47.6,0,0.0
118592,11858.024,46.3,0,0.0
120544,12053.321,47.0,0,0.0
122624,12261.295,47.9,0,0.0
120064,12005.229,46.9,0,0.0
119648,11963.462,46.7,0,0.0
124032,12401.481,48.4,0,0.0
118579,11856.469,46.3,0,0.0
120672,12065.537,47.1,0,0.0
121056,12103.803,47.2,0,0.0
121216,12119.954,47.3,0,0.0
119424,11940.869,46.6,0,0.0
121696,12168.036,47.5,0,0.0
119168,11915.243,46.5,0,0.0
121920,12190.579,47.6,0,0.0
118560,11854.580,46.3,0,0.0
117920,11790.452,46.0,0,0.0
125248,12523.287,48.9,0,0.0
119136,11911.858,46.5,0,0.0
119264,11924.683,46.5,0,0.0
118208,11819.128,46.1,0,0.0
118784,11876.396,46.4,0,0.0
120128,12010.860,46.9,0,0.0
119840,11982.144,46.8,0,0.0
119136,11911.967,46.5,0,0.0
118304,11828.455,46.2,0,0.0
116224,11620.720,45.4,0,0.0
120192,12017.562,46.9,0,0.0
118112,11809.586,46.1,0,0.0
118688,11867.467,46.3,0,0.0
118304,11829.515,46.2,0,0.0
120000,11999.088,46.8,0,0.0
122688,12267.460,47.9,0,0.0
120832,12081.393,47.2,0,0.0
121600,12158.329,47.5,0,0.0
116896,11687.809,45.6,0,0.0
120256,12023.717,46.9,0,0.0
117888,11786.967,46.0,0,0.0
120864,12084.881,47.2,0,0.0
120960,12094.375,47.2,0,0.0
120928,12091.015,47.2,0,0.0
122304,12228.818,47.7,0,0.0
119072,11905.448,46.5,0,0.0
120672,12065.360,47.1,0,0.0
119360,11934.044,46.6,0,0.0
123392,12337.359,48.2,0,0.0
119168,11915.787,46.5,0,0.0
119840,11983.166,46.8,0,0.0
119584,11957.623,46.7,0,0.0
119072,11906.290,46.5,0,0.0
119456,11944.636,46.6,0,0.0
118752,11874.336,46.3,0,0.0
122048,12203.582,47.6,0,0.0
120736,12072.655,47.1,0,0.0
119808,11979.747,46.8,0,0.0
121632,12162.108,47.5,0,0.0
107684,11964.097,46.7,0,0.0
