#ops,ops/sec,mb/sec,us/op,ms/op
7296,729.549,16.6,0,0.0
7160,715.935,16.4,0,0.0
7564,756.333,17.6,0,0.0
9205,920.421,20.4,0,0.0
6353,635.237,15.2,0,0.0
7869,786.840,18.4,0,0.0
8720,871.907,20.3,0,0.0
7545,754.424,17.8,0,0.0
929,92.882,2.0,0,0.0
350,34.997,0.7,0,0.0
6233,623.246,14.6,0,0.0
8045,804.442,18.9,0,0.0
7711,771.036,17.8,0,0.0
2973,297.259,7.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
2492,249.178,5.5,0,0.0
8229,822.849,19.3,0,0.0
7409,740.851,18.3,0,0.0
6309,630.846,14.7,0,0.0
1687,168.670,4.0,0,0.0
0,0.000,0.0,0,0.0
957,95.683,2.2,0,0.0
8440,843.906,20.0,0,0.0
8773,877.215,20.8,0,0.0
7852,785.118,18.4,0,0.0
2567,256.665,5.7,0,0.0
7696,769.526,17.9,0,0.0
7430,742.924,17.4,0,0.0
3569,356.842,8.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
2489,248.870,5.9,0,0.0
8332,833.128,19.6,0,0.0
6045,604.432,14.1,0,0.0
5702,570.157,13.6,0,0.0
5667,566.633,13.2,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
2431,243.063,5.5,0,0.0
7858,785.738,18.3,0,0.0
7916,791.519,17.8,0,0.0
7974,797.336,19.5,0,0.0
3669,366.850,8.9,0,0.0
7159,715.823,16.6,0,0.0
8021,802.023,19.0,0,0.0
7099,709.843,16.0,0,0.0
259,25.895,0.6,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
4757,475.664,11.1,0,0.0
8153,815.249,19.3,0,0.0
7633,763.251,18.1,0,0.0
3543,354.263,8.3,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
2655,265.479,6.0,0,0.0
7587,758.649,17.8,0,0.0
6144,614.350,14.4,0,0.0
