#ops,ops/sec,mb/sec,us/op,ms/op
4412,441.134,1.4,0,0.0
4868,486.712,1.6,0,0.0
4372,437.136,1.4,0,0.0
6158,615.704,2.0,0,0.0
5729,572.852,1.9,0,0.0
6324,632.340,2.1,0,0.0
5653,565.223,1.9,0,0.0
6509,650.812,2.1,0,0.0
6679,667.786,2.2,0,0.0
8828,882.683,2.9,0,0.0
7950,794.867,2.6,0,0.0
9017,901.578,3.0,0,0.0
7094,709.275,2.4,0,0.0
6701,669.989,2.2,0,0.0
3287,328.646,1.0,0,0.0
0,0.000,0.0,0,0.0
5320,531.924,1.7,0,0.0
8612,861.104,2.8,0,0.0
6865,686.411,2.3,0,0.0
690,68.987,0.2,0,0.0
10495,1049.355,3.5,0,0.0
9930,992.858,3.3,0,0.0
6465,646.387,2.1,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
6530,652.910,2.1,0,0.0
9174,917.292,3.1,0,0.0
10079,1007.778,3.2,0,0.0
10114,1011.270,3.3,0,0.0
9116,911.482,3.0,0,0.0
3189,318.847,1.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
5513,551.211,1.8,0,0.0
8483,848.158,2.9,0,0.0
8709,870.770,2.9,0,0.0
11858,1185.678,4.0,0,0.0
10319,1031.768,3.5,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
8698,869.680,2.8,0,0.0
10495,1049.325,3.5,0,0.0
9047,904.558,3.1,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
10353,1035.145,3.4,0,0.0
14272,1427.063,4.7,0,0.0
7268,726.683,2.4,0,0.0
14074,1407.248,4.8,0,0.0
9254,925.279,3.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
13447,1344.540,4.6,0,0.0
15293,1529.132,5.2,0,0.0
2099,209.864,0.7,0,0.0
0,0.000,0.0,0,0.0
4173,417.233,1.3,0,0.0
10606,1060.441,3.5,0,0.0
