#ops,ops/sec,mb/sec,us/op,ms/op
9183,918.234,4.6,0,0.0
8370,836.947,4.4,0,0.0
6128,612.755,3.2,0,0.0
6248,624.760,3.2,0,0.0
5387,538.656,2.7,0,0.0
7720,771.951,4.1,0,0.0
6684,668.343,3.5,0,0.0
6907,690.655,3.6,0,0.0
5507,550.658,2.8,0,0.0
5841,584.059,3.1,0,0.0
6529,652.830,3.4,0,0.0
6711,671.036,3.5,0,0.0
6033,603.231,3.2,0,0.0
4569,456.836,2.4,0,0.0
5134,513.351,2.7,0,0.0
5825,582.435,3.1,0,0.0
6605,660.427,3.4,0,0.0
5647,564.648,2.9,0,0.0
5353,535.230,2.8,0,0.0
5188,518.734,2.7,0,0.0
4423,442.238,2.3,0,0.0
5512,551.142,2.9,0,0.0
5843,584.218,3.0,0,0.0
7262,726.126,4.0,0,0.0
6040,603.918,3.2,0,0.0
6277,627.630,3.2,0,0.0
7947,794.602,4.1,0,0.0
5815,581.434,3.0,0,0.0
6552,655.113,3.4,0,0.0
6945,694.410,3.6,0,0.0
6181,618.045,3.3,0,0.0
6202,620.127,3.3,0,0.0
7721,771.999,4.1,0,0.0
7288,728.730,3.9,0,0.0
7106,710.521,3.8,0,0.0
4974,497.332,2.5,0,0.0
6699,669.824,3.5,0,0.0
6699,669.825,3.4,0,0.0
5868,586.738,3.1,0,0.0
5889,588.845,3.0,0,0.0
6079,607.834,3.2,0,0.0
6583,658.218,3.4,0,0.0
5484,548.341,2.8,0,0.0
5683,568.242,2.9,0,0.0
7735,773.430,4.1,0,0.0
6719,671.827,3.5,0,0.0
5705,570.438,2.9,0,0.0
5332,533.148,2.8,0,0.0
6740,673.928,3.5,0,0.0
7029,702.821,3.7,0,0.0
4584,458.351,2.5,0,0.0
6412,641.131,3.4,0,0.0
5555,555.434,3.0,0,0.0
6417,641.629,3.5,0,0.0
8092,809.116,4.1,0,0.0
5332,533.141,2.8,0,0.0
5646,564.533,3.0,0,0.0
6470,646.937,3.5,0,0.0
6482,648.132,3.3,0,0.0
6038,603.726,3.1,0,0.0
