#ops,ops/sec,mb/sec,us/op,ms/op
1349,134.887,16.8,0,0.0
1436,143.585,17.9,0,0.0
1488,148.778,18.6,0,0.0
1589,158.870,19.8,0,0.0
1712,171.172,21.4,0,0.0
1779,177.867,22.2,0,0.0
1822,182.168,22.7,0,0.0
1888,188.767,23.6,0,0.0
1899,189.869,23.7,0,0.0
1913,191.265,23.9,0,0.0
1924,192.365,24.0,0,0.0
1930,192.969,24.1,0,0.0
1946,194.565,24.3,0,0.0
1962,196.165,24.5,0,0.0
1966,196.568,24.5,0,0.0
1996,199.566,24.9,0,0.0
1942,194.165,24.2,0,0.0
1987,198.667,24.8,0,0.0
2031,203.066,25.3,0,0.0
2031,203.070,25.3,0,0.0
2019,201.865,25.2,0,0.0
2007,200.666,25.0,0,0.0
2019,201.869,25.2,0,0.0
2039,203.866,25.4,0,0.0
2039,203.861,25.4,0,0.0
2047,204.660,25.5,0,0.0
2045,204.463,25.5,0,0.0
2038,203.763,25.4,0,0.0
2066,206.567,25.8,0,0.0
2065,206.470,25.8,0,0.0
2066,206.564,25.8,0,0.0
2036,203.567,25.4,0,0.0
2065,206.464,25.8,0,0.0
2062,206.164,25.7,0,0.0
2075,207.465,25.9,0,0.0
2064,206.367,25.8,0,0.0
2040,203.965,25.5,0,0.0
2067,206.662,25.8,0,0.0
2063,206.261,25.7,0,0.0
2071,207.064,25.8,0,0.0
2092,209.162,26.1,0,0.0
2071,207.061,25.8,0,0.0
2100,209.962,26.2,0,0.0
2123,212.260,26.5,0,0.0
2055,205.467,25.6,0,0.0
2069,206.873,25.8,0,0.0
2105,210.477,26.3,0,0.0
1889,188.883,23.6,0,0.0
2095,209.482,26.1,0,0.0
2051,205.067,25.6,0,0.0
2067,206.668,25.8,0,0.0
2086,208.576,26.0,0,0.0
2070,206.978,25.8,0,0.0
2085,208.482,26.0,0,0.0
2063,206.266,25.7,0,0.0
2097,209.665,26.2,0,0.0
2096,209.561,26.2,0,0.0
2114,211.365,26.4,0,0.0
2118,211.766,26.4,0,0.0
2092,209.161,26.1,0,0.0
