#ops,ops/sec,mb/sec,us/op,ms/op
610,60.992,60.9,0,0.0
618,61.791,61.8,0,0.0
653,65.290,65.3,0,0.0
681,68.091,68.1,0,0.0
683,68.288,68.3,0,0.0
686,68.588,68.6,0,0.0
688,68.788,68.8,0,0.0
702,70.187,70.2,0,0.0
700,69.988,70.0,0,0.0
725,72.487,72.5,0,0.0
742,74.185,74.2,0,0.0
750,74.987,75.0,0,0.0
732,73.187,73.2,0,0.0
760,75.985,76.0,0,0.0
750,74.988,75.0,0,0.0
772,77.191,77.2,0,0.0
761,76.090,76.1,0,0.0
778,77.791,77.8,0,0.0
773,77.289,77.3,0,0.0
769,76.889,76.9,0,0.0
775,77.487,77.5,0,0.0
782,78.188,78.2,0,0.0
784,78.388,78.4,0,0.0
809,80.886,80.9,0,0.0
810,80.986,81.0,0,0.0
802,80.187,80.2,0,0.0
810,80.985,81.0,0,0.0
810,80.992,81.0,0,0.0
819,81.886,81.9,0,0.0
820,81.986,82.0,0,0.0
796,79.588,79.6,0,0.0
804,80.385,80.4,0,0.0
817,81.689,81.7,0,0.0
817,81.687,81.7,0,0.0
808,80.787,80.8,0,0.0
825,82.487,82.5,0,0.0
812,81.187,81.2,0,0.0
811,81.087,81.1,0,0.0
825,82.486,82.5,0,0.0
808,80.789,80.8,0,0.0
815,81.489,81.5,0,0.0
812,81.190,81.2,0,0.0
824,82.388,82.4,0,0.0
816,81.587,81.6,0,0.0
822,82.187,82.2,0,0.0
819,81.888,81.9,0,0.0
808,80.787,80.8,0,0.0
803,80.289,80.3,0,0.0
819,81.887,81.9,0,0.0
823,82.284,82.3,0,0.0
816,81.585,81.6,0,0.0
811,81.087,81.1,0,0.0
830,82.987,83.0,0,0.0
820,81.987,82.0,0,0.0
819,81.888,81.9,0,0.0
840,83.987,84.0,0,0.0
822,82.186,82.2,0,0.0
801,80.091,80.1,0,0.0
823,82.289,82.3,0,0.0
837,83.690,83.7,0,0.0
