#ops,ops/sec,mb/sec,us/op,ms/op
1564,156.385,0.6,0,0.0
1704,170.379,0.6,0,0.0
1833,183.268,0.7,0,0.0
1918,191.766,0.7,0,0.0
,,,0.7,
2103,210.262,0.8,0,0.0
2199,219.860,0.8,0,0.0
2275,227.459,0.8,0,0.0
2337,233.658,0.9,0,0.0
2333,233.260,0.9,0,0.0
2366,236.559,0.9,0,0.0
2404,240.360,0.9,0,0.0
2423,242.259,0.9,0,0.0
2449,244.857,0.9,0,0.0
2437,243.655,0.9,0,0.0
2434,243.356,0.9,0,0.0
2448,244.757,0.9,0,0.0
2474,247.355,0.9,0,0.0
2471,247.057,0.9,0,0.0
2460,245.957,0.9,0,0.0
2441,244.059,0.9,0,0.0
2457,245.658,0.9,0,0.0
2475,247.454,0.9,0,0.0
2493,249.255,0.9,0,0.0
2456,245.555,0.9,0,0.0
2527,252.653,0.9,0,0.0
2498,249.754,0.9,0,0.0
2508,250.756,0.9,0,0.0
2487,248.654,0.9,0,0.0
2452,245.156,0.9,0,0.0
2497,249.655,0.9,0,0.0
2481,248.055,0.9,0,0.0
2509,250.862,0.9,0,0.0
2483,248.256,0.9,0,0.0
2482,248.159,0.9,0,0.0
2481,248.054,0.9,0,0.0
2500,249.960,0.9,0,0.0
2470,246.959,0.9,0,0.0
2502,250.155,0.9,0,0.0
2500,249.967,0.9,0,0.0
2502,250.160,0.9,0,0.0
2502,250.164,0.9,0,0.0
2510,250.960,0.9,0,0.0
2489,248.856,0.9,0,0.0
2494,249.357,0.9,0,0.0
2505,250.453,0.9,0,0.0
2519,251.857,0.9,0,0.0
2513,251.262,0.9,0,0.0
2484,248.358,0.9,0,0.0
2508,250.756,0.9,0,0.0
2486,248.558,0.9,0,0.0
2495,249.458,0.9,0,0.0
2474,247.356,0.9,0,0.0
2546,254.553,0.9,0,0.0
2514,251.354,0.9,0,0.0
2514,251.352,0.9,0,0.0
2520,251.953,0.9,0,0.0
2514,251.353,0.9,0,0.0
2560,255.953,1.0,0,0.0
2500,249.954,0.9,0,0.0
