#ops,ops/sec,mb/sec,us/op,ms/op
2045,204.481,25.5,0,0.0
1655,165.484,20.6,0,0.0
2616,261.579,32.7,0,0.0
935,93.492,11.6,0,0.0
960,95.992,12.0,0,0.0
1515,151.487,18.9,0,0.0
3244,324.367,40.5,0,0.0
1108,110.781,13.8,0,0.0
1132,113.182,14.1,0,0.0
1055,105.480,13.1,0,0.0
1280,127.979,16.0,0,0.0
2564,256.356,32.0,0,0.0
1775,177.470,22.1,0,0.0
1838,183.771,22.9,0,0.0
2249,224.860,28.1,0,0.0
1392,139.175,17.4,0,0.0
1613,161.270,20.1,0,0.0
1769,176.868,22.1,0,0.0
1436,143.574,17.9,0,0.0
1879,187.870,23.4,0,0.0
1746,174.570,21.8,0,0.0
2819,281.861,35.2,0,0.0
2474,247.353,30.9,0,0.0
1924,192.366,24.0,0,0.0
1308,130.783,16.3,0,0.0
1495,149.477,18.6,0,0.0
1606,160.571,20.0,0,0.0
1823,182.269,22.7,0,0.0
1735,173.475,21.6,0,0.0
2404,240.372,30.0,0,0.0
892,89.184,11.1,0,0.0
1115,111.481,13.9,0,0.0
1254,125.377,15.6,0,0.0
1171,117.085,14.6,0,0.0
1258,125.787,15.7,0,0.0
1965,196.483,24.5,0,0.0
3469,346.868,43.3,0,0.0
1370,136.988,17.1,0,0.0
1183,118.289,14.7,0,0.0
1064,106.389,13.3,0,0.0
2004,200.382,25.0,0,0.0
1800,179.983,22.5,0,0.0
2204,220.381,27.5,0,0.0
1051,105.087,13.1,0,0.0
1281,128.079,16.0,0,0.0
1083,108.281,13.5,0,0.0
1359,135.876,16.9,0,0.0
2238,223.759,27.9,0,0.0
2508,250.761,31.3,0,0.0
2496,249.552,31.2,0,0.0
1271,127.075,15.8,0,0.0
1547,154.672,19.3,0,0.0
1480,147.981,18.5,0,0.0
1559,155.875,19.4,0,0.0
2114,211.362,26.4,0,0.0
2395,239.461,29.9,0,0.0
889,88.883,11.1,0,0.0
1180,117.979,14.7,0,0.0
1277,127.677,15.9,0,0.0
1327,132.674,16.5,0,0.0
