#ops,ops/sec,mb/sec,us/op,ms/op
647,64.694,64.6,0,0.0
264,26.397,26.4,0,0.0
197,19.696,19.7,0,0.0
427,42.692,42.7,0,0.0
347,34.694,34.7,0,0.0
239,23.895,23.9,0,0.0
215,21.496,21.5,0,0.0
238,23.796,23.8,0,0.0
358,35.794,35.8,0,0.0
484,48.392,48.4,0,0.0
486,48.592,48.6,0,0.0
166,16.597,16.6,0,0.0
430,42.992,43.0,0,0.0
371,37.094,37.1,0,0.0
374,37.394,37.4,0,0.0
150,14.997,15.0,0,0.0
404,40.393,40.4,0,0.0
648,64.790,64.8,0,0.0
152,15.198,15.2,0,0.0
401,40.095,40.1,0,0.0
223,22.297,22.3,0,0.0
385,38.493,38.5,0,0.0
592,59.189,59.2,0,0.0
253,25.296,25.3,0,0.0
355,35.494,35.5,0,0.0
654,65.392,65.4,0,0.0
536,53.595,53.6,0,0.0
377,37.694,37.7,0,0.0
403,40.292,40.3,0,0.0
366,36.593,36.6,0,0.0
550,54.991,55.0,0,0.0
680,67.988,68.0,0,0.0
412,41.193,41.2,0,0.0
249,24.896,24.9,0,0.0
608,60.788,60.8,0,0.0
560,55.994,56.0,0,0.0
462,46.194,46.2,0,0.0
310,30.994,31.0,0,0.0
386,38.593,38.6,0,0.0
530,52.991,53.0,0,0.0
,,,,784
414,41.395,41.4,0,0.0
655,65.488,65.5,0,0.0
397,39.693,39.7,0,0.0
414,41.393,41.4,0,0.0
596,59.590,59.6,0,0.0
248,24.795,24.8,0,0.0
443,44.291,44.3,0,0.0
403,40.293,40.3,0,0.0
386,38.593,38.6,0,0.0
682,68.187,68.2,0,0.0
186,18.597,18.6,0,0.0
691,69.089,69.1,0,0.0
137,13.698,13.7,0,0.0
334,33.394,33.4,0,0.0
554,55.394,55.4,0,0.0
367,36.693,36.7,0,0.0
339,33.893,33.9,0,0.0
493,49.291,49.3,0,0.0
358,35.793,35.8,0,0.0
