#ops,ops/sec,mb/sec,us/op,ms/op
2773,277.275,1.0,0,0.0
3893,389.234,1.5,0,0.0
7188,718.708,2.8,0,0.0
21127,2112.455,8.2,0,0.0
40510,4050.569,15.8,0,0.0
33907,3390.323,13.2,0,0.0
49114,4910.806,19.1,0,0.0
33036,3303.182,12.9,0,0.0
,,,,
45556,4555.032,17.7,0,0.0
43389,4338.385,16.9,0,0.0
31846,3184.343,12.4,0,0.0
5601,560.024,2.1,0,0.0
1148,114.782,0.4,0,0.0
785,78.487,0.3,0,0.0
622,62.190,0.2,0,0.0
533,53.291,0.2,0,0.0
520,51.991,0.2,0,0.0
511,51.091,0.1,0,0.0
455,45.491,0.1,0,0.0
460,45.991,0.1,0,0.0
437,43.692,0.1,0,0.0
1237,123.677,0.4,0,0.0
2811,281.056,1.0,0,0.0
3872,387.146,1.5,0,0.0
3653,365.249,1.4,0,0.0
3427,342.649,1.3,0,0.0
3280,327.963,1.2,0,0.0
3412,341.147,1.3,0,0.0
3327,332.650,1.2,0,0.0
3303,330.249,1.2,0,0.0
3213,321.251,1.2,0,0.0
3407,340.664,1.3,0,0.0
3288,328.751,1.2,0,0.0
3562,356.170,1.3,0,0.0
3433,343.274,1.3,0,0.0
3602,360.170,1.4,0,0.0
3672,367.165,1.4,0,0.0
3504,350.370,1.3,0,0.0
3680,367.970,1.4,0,0.0
3721,372.069,1.4,0,0.0
3722,372.167,1.4,0,0.0
3739,373.867,1.4,0,0.0
3491,349.057,1.3,0,0.0
3163,316.274,1.2,0,0.0
4569,456.861,1.7,0,0.0
4437,443.661,1.7,0,0.0
3986,398.568,1.5,0,0.0
3142,314.174,1.2,0,0.0
4949,494.863,1.9,0,0.0
3916,391.568,1.5,0,0.0
4120,411.966,1.6,0,0.0
4302,430.161,1.6,0,0.0
4335,433.464,1.6,0,0.0
4332,433.162,1.6,0,0.0
4574,457.356,1.7,0,0.0
3879,387.862,1.5,0,0.0
4818,481.756,1.8,0,0.0
4577,457.627,1.7,0,0.0
4591,459.036,1.7,0,0.0
