#ops,ops/sec,mb/sec,us/op,ms/op
1575,157.484,0.0,0,0.0
1901,190.082,0.0,0,0.0
836,83.575,0.0,0,0.0
1740,173.974,0.0,0,0.0
896,89.585,0.0,0,0.0
2179,217.863,0.0,0,0.0
2542,254.161,0.0,0,0.0
2117,211.667,0.0,0,0.0
2341,234.060,0.0,0,0.0
2046,204.560,0.0,0,0.0
1356,135.578,0.0,0,0.0
2345,234.458,0.0,0,0.0
2288,228.758,0.0,0,0.0
2674,267.374,0.0,0,0.0
1836,183.583,0.0,0,0.0
2498,249.774,0.0,0,0.0
3338,333.762,0.0,0,0.0
1375,137.487,0.0,0,0.0
1822,182.183,0.0,0,0.0
3481,348.052,0.0,0,0.0
4058,405.736,0.0,0,0.0
3330,332.945,0.0,0,0.0
1528,152.774,0.0,0,0.0
2002,200.167,0.0,0,0.0
2107,210.668,0.0,0,0.0
4008,400.737,0.0,0,0.0
3718,371.735,0.0,0,0.0
3758,375.743,0.0,0,0.0
2781,278.055,0.0,0,0.0
3975,397.456,0.0,0,0.0
2719,271.876,0.0,0,0.0
3144,314.350,0.0,0,0.0
4646,464.516,0.0,0,0.0
3410,340.939,0.0,0,0.0
4237,423.629,0.0,0,0.0
6714,671.300,0.0,0,0.0
3707,370.664,0.0,0,0.0
2883,288.274,0.0,0,0.0
1666,166.586,0.0,0,0.0
11679,1167.782,0.0,0,0.0
3823,382.256,0.0,0,0.0
5226,522.542,0.0,0,0.0
0,0.000,0.0,0,0.0
3902,390.158,0.0,0,0.0
622,62.193,0.0,0,0.0
9947,994.564,0.0,0,0.0
9068,906.659,0.0,0,0.0
893,89.283,0.0,0,0.0
4302,430.124,0.0,0,0.0
3438,343.743,0.0,0,0.0
3547,354.641,0.0,0,0.0
9555,955.350,0.0,0,0.0
8904,890.259,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
15583,1558.070,0.0,0,0.0
5169,516.812,0.0,0,0.0
5156,515.512,0.0,0,0.0
0,0.000,0.0,0,0.0
5194,519.305,0.0,0,0.0
6502,650.116,0.0,0,0.0
14000,1399.862,0.0,0,0.0
0,0.000,0.0,0,0.0
0,0.000,0.0,0,0.0
15568,1556.644,0.0,0,0.0
5195,519.451,0.0,0,0.0
545,54.495,0.0,0,0.0
4599,459.851,0.0,0,0.0
5163,516.255,0.0,0,0.0
0,0.000,0.0,0,0.0
15485,1548.334,0.0,0,0.0
5178,517.713,0.0,0,0.0
5165,516.410,0.0,0,0.0
1186,118.577,0.0,0,0.0
4045,404.425,0.0,0,0.0
1249,124.877,0.0,0,0.0
14344,1434.191,0.0,0,0.0
5184,518.340,0.0,0,0.0
5136,513.549,0.0,0,0.0
5132,513.152,0.0,0,0.0
0,0.000,0.0,0,0.0
