#ops,ops/sec,mb/sec,us/op,ms/op
516,51.597,48.4,0,0.0
515,51.497,51.5,0,0.0
516,51.596,51.6,0,0.0
514,51.396,51.4,0,0.0
506,50.595,50.6,0,0.0
511,51.095,51.1,0,0.0
520,51.994,52.0,0,0.0
513,51.295,51.3,0,0.0
519,51.893,51.9,0,0.0
527,52.694,52.7,0,0.0
513,51.293,51.3,0,0.0
511,51.094,51.1,0,0.0
514,51.392,51.4,0,0.0
508,50.792,50.8,0,0.0
516,51.592,51.6,0,0.0
505,50.493,50.5,0,0.0
522,52.193,52.2,0,0.0
505,50.495,50.5,0,0.0
512,51.194,51.2,0,0.0
520,51.992,52.0,0,0.0
521,52.092,52.1,0,0.0
515,51.493,51.5,0,0.0
517,51.691,51.7,0,0.0
513,51.291,51.3,0,0.0
505,50.494,50.5,0,0.0
519,51.894,51.9,0,0.0
499,49.896,49.9,0,0.0
521,52.093,52.1,0,0.0
507,50.693,50.7,0,0.0
514,51.392,51.4,0,0.0
510,50.992,51.0,0,0.0
499,49.892,49.9,0,0.0
514,51.392,51.4,0,0.0
517,51.692,51.7,0,0.0
516,51.596,51.6,0,0.0
512,51.197,51.2,0,0.0
509,50.896,50.9,0,0.0
512,51.196,51.2,0,0.0
522,52.196,52.2,0,0.0
517,51.697,51.7,0,0.0
520,51.996,52.0,0,0.0
509,50.895,50.9,0,0.0
520,51.995,52.0,0,0.0
516,51.596,51.6,0,0.0
511,51.095,51.1,0,0.0
513,51.295,51.3,0,0.0
522,52.195,52.2,0,0.0
511,51.096,51.1,0,0.0
521,52.093,52.1,0,0.0
514,51.393,51.4,0,0.0
508,50.794,50.8,0,0.0
516,51.594,51.6,0,0.0
517,51.695,51.7,0,0.0
512,51.193,51.2,0,0.0
524,52.392,52.4,0,0.0
527,52.692,52.7,0,0.0
517,51.693,51.7,0,0.0
512,51.192,51.2,0,0.0
512,51.195,51.2,0,0.0
507,50.693,50.7,0,0.0
519,51.892,51.9,0,0.0
252,50.393,50.4,0,0.0
