#ops,ops/sec,mb/sec,us/op,ms/op
125664,12565.421,49.0,0,0.0
130624,13061.030,51.0,0,0.0
128320,12830.623,50.1,0,0.0
126496,12648.426,49.4,0,0.0
129312,12929.867,50.5,0,0.0
126976,12696.007,49.6,0,0.0
131936,13191.892,51.5,0,0.0
128416,12839.483,50.1,0,0.0
129344,12932.401,50.5,0,0.0
127136,12711.865,49.6,0,0.0
131872,13185.101,51.5,0,0.0
128800,12878.297,50.3,0,0.0
129885,12986.369,50.7,0,0.0
127232,12721.243,49.7,0,0.0
129152,12913.696,50.4,0,0.0
130912,13089.428,51.1,0,0.0
125728,12571.089,49.1,0,0.0
129760,12974.248,50.6,0,0.0
129056,12903.621,50.4,0,0.0
125984,12596.573,49.2,0,0.0
130368,13035.129,50.9,0,0.0
128384,12836.543,50.1,0,0.0
129568,12955.006,50.6,0,0.0
128128,12811.155,50.0,0,0.0
126976,12696.617,49.6,0,0.0
126592,12657.713,49.4,0,0.0
124928,12490.963,48.8,0,0.0
128448,12843.123,50.1,0,0.0
130080,13006.331,50.8,0,0.0
129568,12954.796,50.6,0,0.0
129344,12932.420,50.5,0,0.0
127424,12740.279,49.7,0,0.0
129664,12964.770,50.6,0,0.0
125376,12535.624,48.9,0,0.0
129440,12942.151,50.5,0,0.0
128416,12840.027,50.1,0,0.0
131200,13118.108,51.2,0,0.0
129664,12964.493,50.6,0,0.0
128128,12810.876,50.0,0,0.0
131840,13182.394,51.5,0,0.0
128800,12878.770,50.3,0,0.0
129504,12948.630,50.5,0,0.0
128384,12836.586,50.1,0,0.0
125504,12548.785,49.0,0,0.0
128512,12849.384,50.2,0,0.0
127808,12778.822,49.9,0,0.0
128320,12830.644,50.1,0,0.0
129792,12977.939,50.7,0,0.0
126208,12619.440,49.3,0,0.0
125120,12510.347,48.8,0,0.0
128480,12846.523,50.1,0,0.0
127648,12763.045,49.8,0,0.0
130080,13006.314,50.8,0,0.0
126752,12673.457,49.5,0,0.0
128352,12833.489,50.1,0,0.0
131488,13147.168,51.3,0,0.0
127104,12708.803,49.6,0,0.0
125504,12548.779,49.0,0,0.0
127584,12756.711,49.8,0,0.0
129248,12923.093,50.4,0,0.0
127776,12775.923,49.9,0,0.0
130912,13089.548,51.1,0,0.0
127200,12718.298,49.6,0,0.0
24228,12111.802,47.0,0,0.0
