#ops,ops/sec,mb/sec,us/op,ms/op
2843,284.268,281.1,0,0.0
1429,142.891,142.9,0,0.0
1479,147.889,147.9,0,0.0
1495,149.491,149.5,0,0.0
1502,150.190,150.2,0,0.0
1510,150.990,151.0,0,0.0
1492,149.190,149.2,0,0.0
1493,149.290,149.3,0,0.0
1512,151.190,151.2,0,0.0
1498,149.790,149.8,0,0.0
1445,144.491,144.5,0,0.0
1474,147.390,147.4,0,0.0
1472,147.189,147.2,0,0.0
1446,144.589,144.6,0,0.0
1451,145.091,145.1,0,0.0
1445,144.489,144.5,0,0.0
1457,145.690,145.7,0,0.0
1389,138.891,138.9,0,0.0
1420,141.991,142.0,0,0.0
1443,144.290,144.3,0,0.0
1444,144.390,144.4,0,0.0
148,147.985,148.0,0,0.0
