#ops,ops/sec,mb/sec,us/op,ms/op
10723,1072.218,24.4,0,0.0
10321,1032.034,24.7,0,0.0
11825,1182.423,27.2,0,0.0
7605,760.441,17.8,0,0.0
9281,928.031,21.6,0,0.0
9575,957.408,21.7,0,0.0
10170,1016.888,24.2,0,0.0
10110,1010.925,23.9,0,0.0
9466,946.521,21.6,0,0.0
9105,910.423,21.3,0,0.0
8535,853.439,20.2,0,0.0
8226,822.533,18.9,0,0.0
9117,911.622,21.2,0,0.0
9401,940.009,22.4,0,0.0
8792,879.094,20.5,0,0.0
8505,850.407,19.7,0,0.0
8481,848.021,19.4,0,0.0
9230,922.926,21.5,0,0.0
8574,857.280,20.3,0,0.0
7258,725.749,17.0,0,0.0
7683,768.242,18.4,0,0.0
8338,833.727,19.9,0,0.0
8336,833.529,19.2,0,0.0
7826,782.521,17.8,0,0.0
8300,829.925,19.3,0,0.0
7549,754.840,17.8,0,0.0
7955,795.439,18.2,0,0.0
8745,874.430,20.6,0,0.0
7556,755.527,18.0,0,0.0
7544,754.314,17.3,0,0.0
8118,811.737,18.9,0,0.0
7789,778.811,18.4,0,0.0
7972,797.130,18.9,0,0.0
8983,898.205,21.8,0,0.0
7358,735.734,16.6,0,0.0
8875,887.430,20.5,0,0.0
8581,858.017,20.2,0,0.0
8187,818.627,19.4,0,0.0
7935,793.417,17.7,0,0.0
9480,947.914,22.0,0,0.0
7862,786.117,18.2,0,0.0
8467,846.625,19.6,0,0.0
7241,724.034,16.3,0,0.0
7777,777.616,18.3,0,0.0
8177,817.618,19.2,0,0.0
8777,877.620,20.7,0,0.0
7796,779.530,18.5,0,0.0
7990,798.923,18.7,0,0.0
6521,652.030,15.8,0,0.0
7262,726.111,16.7,0,0.0
6321,632.034,14.4,0,0.0
7148,714.728,16.4,0,0.0
7953,795.229,17.9,0,0.0
6422,642.130,15.5,0,0.0
6727,672.626,16.2,0,0.0
7061,706.029,16.9,0,0.0
7612,761.118,17.5,0,0.0
6469,646.854,15.3,0,0.0
7452,745.138,17.4,0,0.0
7186,718.536,17.0,0,0.0
