#ops,ops/sec,mb/sec,us/op,ms/op
438,43.797,40.6,0,0.0
437,43.696,43.7,0,0.0
439,43.896,43.9,0,0.0
453,45.294,45.3,0,0.0
444,44.394,44.4,0,0.0
460,45.995,46.0,0,0.0
449,44.894,44.9,0,0.0
472,47.194,47.2,0,0.0
447,44.695,44.7,0,0.0
464,46.394,46.4,0,0.0
456,45.596,45.6,0,0.0
463,46.295,46.3,0,0.0
446,44.596,44.6,0,0.0
461,46.095,46.1,0,0.0
463,46.294,46.3,0,0.0
462,46.194,46.2,0,0.0
472,47.194,47.2,0,0.0
467,46.694,46.7,0,0.0
465,46.493,46.5,0,0.0
464,46.394,46.4,0,0.0
458,45.794,45.8,0,0.0
463,46.294,46.3,0,0.0
464,46.393,46.4,0,0.0
455,45.494,45.5,0,0.0
449,44.895,44.9,0,0.0
458,45.794,45.8,0,0.0
446,44.594,44.6,0,0.0
475,47.494,47.5,0,0.0
461,46.094,46.1,0,0.0
474,47.393,47.4,0,0.0
462,46.194,46.2,0,0.0
455,45.493,45.5,0,0.0
448,44.793,44.8,0,0.0
473,47.294,47.3,0,0.0
453,45.293,45.3,0,0.0
461,46.094,46.1,0,0.0
459,45.893,45.9,0,0.0
454,45.393,45.4,0,0.0
468,46.793,46.8,0,0.0
474,47.394,47.4,0,0.0
461,46.093,46.1,0,0.0
461,46.094,46.1,0,0.0
463,46.293,46.3,0,0.0
455,45.493,45.5,0,0.0
466,46.593,46.6,0,0.0
459,45.893,45.9,0,0.0
478,47.794,47.8,0,0.0
461,46.093,46.1,0,0.0
467,46.694,46.7,0,0.0
461,46.093,46.1,0,0.0
465,46.493,46.5,0,0.0
464,46.393,46.4,0,0.0
469,46.893,46.9,0,0.0
459,45.893,45.9,0,0.0
469,46.896,46.9,0,0.0
467,46.697,46.7,0,0.0
470,46.997,47.0,0,0.0
475,47.497,47.5,0,0.0
473,47.295,47.3,0,0.0
465,46.493,46.5,0,0.0
