#ops,ops/sec,mb/sec,us/op,ms/op
2468,246.778,0.9,0,0.0
2483,248.276,0.9,0,0.0
2475,247.477,0.9,0,0.0
2466,246.562,0.9,0,0.0
2484,248.355,0.9,0,0.0
2482,248.157,0.9,0,0.0
2458,245.752,0.9,0,0.0
2454,245.357,0.9,0,0.0
2495,249.456,0.9,0,0.0
2501,250.055,0.9,0,0.0
2482,248.151,0.9,0,0.0
2485,248.453,0.9,0,0.0
2419,241.858,0.9,0,0.0
2483,248.254,0.9,0,0.0
2470,246.955,0.9,0,0.0
2508,250.757,0.9,0,0.0
2479,247.859,0.9,0,0.0
2500,249.954,0.9,0,0.0
2474,247.355,0.9,0,0.0
2479,247.854,0.9,0,0.0
2510,250.953,0.9,0,0.0
2508,250.752,0.9,0,0.0
2481,248.056,0.9,0,0.0
2516,251.553,0.9,0,0.0
2472,247.155,0.9,0,0.0
2508,250.757,0.9,0,0.0
2474,247.354,0.9,0,0.0
2500,249.955,0.9,0,0.0
2506,250.554,0.9,0,0.0
2495,249.456,0.9,0,0.0
2494,249.355,0.9,0,0.0
2524,252.357,0.9,0,0.0
2507,250.656,0.9,0,0.0
2562,256.152,1.0,0,0.0
2496,249.554,0.9,0,0.0
2512,251.154,0.9,0,0.0
2482,248.154,0.9,0,0.0
2491,249.053,0.9,0,0.0
2514,251.358,0.9,0,0.0
2491,249.059,0.9,0,0.0
2536,253.555,0.9,0,0.0
2503,250.257,0.9,0,0.0
2501,250.055,0.9,0,0.0
2493,249.256,0.9,0,0.0
2506,250.557,0.9,0,0.0
2520,251.956,0.9,0,0.0
2546,254.556,0.9,0,0.0
2502,250.154,0.9,0,0.0
2253,225.261,0.8,0,0.0
2560,255.953,1.0,0,0.0
2565,256.453,1.0,0,0.0
2510,250.955,0.9,0,0.0
2534,253.355,0.9,0,0.0
2549,254.852,0.9,0,0.0
2508,250.755,0.9,0,0.0
2541,254.054,0.9,0,0.0
2563,256.254,1.0,0,0.0
2558,255.754,0.9,0,0.0
2558,255.757,0.9,0,0.0
2503,250.254,0.9,0,0.0
