#ops,ops/sec,mb/sec,us/op,ms/op
159087,15907.184,62.1,0,0.0
151126,15111.639,59.0,0,0.0
74836,7482.729,29.2,0,0.0
4050,404.932,1.5,0,0.0
2480,247.957,0.9,0,0.0
2425,242.480,0.9,0,0.0
2507,250.676,0.9,0,0.0
2579,257.878,1.0,0,0.0
2533,253.277,0.9,0,0.0
2539,253.878,0.9,0,0.0
4967,496.659,1.9,0,0.0
8904,890.324,3.4,0,0.0
9800,979.858,3.8,0,0.0
10477,1047.520,4.0,0,0.0
10608,1060.663,4.1,0,0.0
10433,1043.138,4.0,0,0.0
10537,1053.545,4.1,0,0.0
10393,1039.167,4.0,0,0.0
10562,1056.038,4.1,0,0.0
10635,1063.315,4.1,0,0.0
10464,1046.250,4.0,0,0.0
10677,1067.558,4.1,0,0.0
10855,1085.339,4.2,0,0.0
10706,1070.438,4.1,0,0.0
10850,1084.855,4.2,0,0.0
10777,1077.559,4.2,0,0.0
10884,1088.241,4.2,0,0.0
10652,1065.035,4.1,0,0.0
10541,1053.934,4.1,0,0.0
10903,1090.140,4.2,0,0.0
10801,1079.942,4.2,0,0.0
10726,1072.460,4.1,0,0.0
10856,1085.427,4.2,0,0.0
10801,1079.955,4.2,0,0.0
10914,1091.276,4.2,0,0.0
11150,1114.861,4.3,0,0.0
11101,1109.963,4.3,0,0.0
11129,1112.735,4.3,0,0.0
11019,1101.785,4.3,0,0.0
10896,1089.474,4.2,0,0.0
11044,1104.244,4.3,0,0.0
10912,1091.072,4.2,0,0.0
11033,1103.143,4.3,0,0.0
11798,1179.671,4.6,0,0.0
11273,1127.135,4.4,0,0.0
11426,1142.424,4.4,0,0.0
11464,1146.292,4.4,0,0.0
11260,1125.858,4.3,0,0.0
11490,1148.857,4.4,0,0.0
11353,1135.151,4.4,0,0.0
11195,1119.363,4.3,0,0.0
10695,1069.353,4.1,0,0.0
10939,1093.771,4.2,0,0.0
10827,1082.553,4.2,0,0.0
10590,1058.854,4.1,0,0.0
10710,1070.833,4.1,0,0.0
10721,1071.956,4.1,0,0.0
10681,1068.021,4.1,0,0.0
10800,1079.901,4.2,0,0.0
10900,1089.911,4.2,0,0.0
