#ops,ops/sec,mb/sec,us/op,ms/op
,,,28.2,
200993,20097.787,26.1,0,0.0
199221,19920.803,25.9,0,0.0
195070,19505.705,25.4,0,0.0
199916,19990.317,26.0,0,0.0
194675,19466.266,25.3,0,0.0
188399,18838.781,24.5,0,0.0
187376,18736.210,24.3,0,0.0
187031,18701.712,24.3,0,0.0
159019,15900.308,20.7,0,0.0
192242,19222.774,25.0,0,0.0
181233,18122.095,23.5,0,0.0
147413,14739.808,19.1,0,0.0
155783,15577.241,20.2,0,0.0
179658,17964.485,23.3,0,0.0
152652,15263.948,19.8,0,0.0
176633,17661.677,22.9,0,0.0
132089,13207.596,17.1,0,0.0
116698,11668.984,15.1,0,0.0
143268,14325.506,18.6,0,0.0
181971,18195.901,23.6,0,0.0
119878,11986.582,15.6,0,0.0
117174,11716.242,15.2,0,0.0
154161,15414.779,20.0,0,0.0
134553,13454.064,17.5,0,0.0
111751,11173.695,14.5,0,0.0
119075,11906.047,15.5,0,0.0
157985,15796.882,20.5,0,0.0
106434,10642.177,13.8,0,0.0
91908,9189.631,11.9,0,0.0
159744,15972.672,20.8,0,0.0
94712,9470.105,12.3,0,0.0
109955,10994.617,14.3,0,0.0
109670,10966.122,14.2,0,0.0
72523,7251.218,9.4,0,0.0
,,,,
73703,7369.286,9.5,0,0.0
133345,13333.097,17.3,0,0.0
65664,6565.450,8.5,0,0.0
123120,12310.782,16.0,0,0.0
65479,6546.936,8.5,0,0.0
106077,10606.582,13.8,0,0.0
,,,,
68096,6808.514,8.8,0,0.0
106663,10665.185,13.8,0,0.0
67937,6793.030,8.8,0,0.0
101039,10102.989,13.1,0,0.0
89992,8998.381,11.7,0,0.0
74711,7470.523,9.7,0,0.0
94759,9474.713,12.3,0,0.0
46957,4695.147,6.1,0,0.0
100634,10062.444,13.1,0,0.0
36733,3672.904,4.7,0,0.0
106716,10670.376,13.8,0,0.0
48122,4811.409,6.2,0,0.0
96311,9630.011,12.5,0,0.0
80534,8052.298,10.4,0,0.0
,,,,1705
88331,8832.042,11.5,0,0.0
35059,3505.359,4.5,0,0.0
118262,11824.990,15.3,0,0.0
66716,6670.872,8.6,0,0.0
38382,3837.819,4.9,0,0.0
84757,8474.608,11.0,0,0.0
35530,3552.396,4.6,0,0.0
,,,13.6,
71354,7134.347,9.2,0,0.0
26628,2662.378,3.4,0,0.0
92608,9259.632,12.0,0,0.0
47928,4792.051,6.2,0,0.0
91727,9171.488,11.9,0,0.0
59175,5916.857,7.7,0,0.0
14361,1435.850,1.8,0,0.0
107483,10747.066,13.9,0,0.0
47745,4773.760,6.2,0,0.0
72392,7238.222,9.4,0,0.0
85514,8550.412,11.1,0,0.0
31466,3146.286,4.0,0,0.0
109409,10939.709,14.2,0,0.0
26928,2692.371,3.5,0,0.0
86742,8673.066,11.2,0,0.0
58614,5860.700,7.6,0,0.0
26496,2649.379,3.4,0,0.0
95433,9542.157,12.4,0,0.0
,,,,
11016,1101.424,1.4,0,0.0
90851,9083.843,11.8,0,0.0
53756,5374.792,6.9,0,0.0
21872,2186.814,2.8,0,0.0
73027,7301.822,9.5,0,0.0
56736,5672.672,7.3,0,0.0
18278,1827.461,2.3,0,0.0
89780,8976.944,11.6,0,0.0
53917,5391.206,7.0,0,0.0
22347,2234.368,2.9,0,0.0
72699,7268.970,9.4,0,0.0
52950,5294.358,6.8,0,0.0
37872,3786.811,4.9,0,0.0
85103,8509.537,11.0,0,0.0
55820,5581.185,7.2,0,0.0
21686,2168.372,2.8,0,0.0
56850,5684.554,7.4,0,0.0
60666,6065.917,7.8,0,0.0
43394,4338.965,5.6,0,0.0
78627,7862.121,10.2,0,0.0
35373,3536.736,4.6,0,0.0
40778,4077.119,5.3,0,0.0
77704,7769.393,10.1,0,0.0
49726,4971.907,6.4,0,0.0
,,,,1705
42024,4201.829,5.4,0,0.0
98350,9833.921,12.8,0,0.0
46890,4688.312,6.1,0,0.0
7267,726.639,0.9,0,0.0
92039,9203.132,11.9,0,0.0
36237,3623.130,4.7,0,0.0
55106,5509.809,7.1,0,0.0
9515,951.333,1.2,0,0.0
85195,8518.744,11.0,0,0.0
66495,6648.748,8.6,0,0.0
19624,1962.083,2.5,0,0.0
20425,2042.214,2.6,0,0.0
84588,8457.542,11.0,0,0.0
51872,5186.404,6.7,0,0.0
43151,4314.483,5.6,0,0.0
9548,954.631,1.2,0,0.0
46945,4693.987,6.1,0,0.0
76422,7641.412,9.9,0,0.0
,,,,
67845,6783.798,8.8,0,0.0
6701,670.033,0.8,0,0.0
81343,8133.504,10.5,0,0.0
44262,4425.478,5.7,0,0.0
25708,2570.483,3.3,0,0.0
22284,2228.010,2.9,0,0.0
45836,4582.930,5.9,0,0.0
,,,,1705
32476,3247.019,4.2,0,0.0
42644,4263.679,5.5,0,0.0
10151,1014.943,1.3,0,0.0
82994,8298.378,10.8,0,0.0
29775,2977.029,3.8,0,0.0
47777,4777.016,6.2,0,0.0
30571,3056.653,3.9,0,0.0
12924,1292.187,1.6,0,0.0
39736,9932.590,12.7,0,0.0
